"","SpeciesName","Species","Genus","Family","WoodDensity","TaxonName"
"1","Avicennia germinans","germinans","Avicennia","Acanthaceae",0.766487619047619,"Acanthaceae_Avicennia_germinans"
"2","Avicennia nitida","germinans","Avicennia","Acanthaceae",0.9,"Acanthaceae_Avicennia_germinans"
"3","Avicennia alba","marina","Avicennia","Acanthaceae",0.586666666666667,"Acanthaceae_Avicennia_marina"
"4","Avicennia intermedia","marina","Avicennia","Acanthaceae",0.64,"Acanthaceae_Avicennia_marina"
"5","Avicennia marina","marina","Avicennia","Acanthaceae",0.629395238095238,"Acanthaceae_Avicennia_marina"
"6","Bravaisia integerrima","integerrima","Bravaisia","Acanthaceae",0.45,"Acanthaceae_Bravaisia_integerrima"
"7","Carpotroche longifolia","longifolia","Carpotroche","Achariaceae",0.45,"Achariaceae_Carpotroche_longifolia"
"8","Kiggelaria africana","africana","Kiggelaria","Achariaceae",0.63289,"Achariaceae_Kiggelaria_africana"
"9","Pangium edule","edule","Pangium","Achariaceae",0.502398,"Achariaceae_Pangium_edule"
"10","Saurauia roxburghii","roxburghii","Saurauia","Actinidiaceae",0.578728,"Actinidiaceae_Saurauia_roxburghii"
"11","Saurauia tristyla","tristyla","Saurauia","Actinidiaceae",0.332900285714286,"Actinidiaceae_Saurauia_tristyla"
"12","Saurauia yasicae","yasicae","Saurauia","Actinidiaceae",0.402974448333333,"Actinidiaceae_Saurauia_yasicae"
"13","Sambucus canadensis","canadensis","Sambucus","Adoxaceae",0.475,"Adoxaceae_Sambucus_canadensis"
"14","Sambucus mexicana","canadensis","Sambucus","Adoxaceae",0.45,"Adoxaceae_Sambucus_canadensis"
"15","Sambucus nigra","nigra","Sambucus","Adoxaceae",0.2919274625,"Adoxaceae_Sambucus_nigra"
"16","Sambucus peruviana","peruviana","Sambucus","Adoxaceae",0.429,"Adoxaceae_Sambucus_peruviana"
"17","Viburnum costaricanum","costaricanum","Viburnum","Adoxaceae",0.5415744628,"Adoxaceae_Viburnum_costaricanum"
"18","Viburnum lantana","lantana","Viburnum","Adoxaceae",0.723,"Adoxaceae_Viburnum_lantana"
"19","Viburnum sambucinum","sambucinum","Viburnum","Adoxaceae",0.6,"Adoxaceae_Viburnum_sambucinum"
"20","Viburnum seemanii","seemanii","Viburnum","Adoxaceae",0.539,"Adoxaceae_Viburnum_seemanii"
"21","Aextoxicon punctatum","punctatum","Aextoxicon","Aextoxicaceae",0.5565,"Aextoxicaceae_Aextoxicon_punctatum"
"22","Akania bidwillii","bidwillii","Akania","Akaniaceae",0.57267375,"Akaniaceae_Akania_bidwillii"
"23","Cupania lucens","bidwillii","Akania","Akaniaceae",0.573,"Akaniaceae_Akania_bidwillii"
