"","PLT","LAT","LON","YEAR","IndividualNumber","treeDensity","diameterMean","SpeciesNumber","ShannonIndex","SimpsonIndex","InvSimpsonIndex","BasalArea","WeightedWoodDensity","WoodDensitySD","MinWD","MaxWD","GymnoWD","AngioWD","FiveQuantile","NintyfiveQuantile","angiospermRatio","gymnospermRatio","nonDefinedAG","dataset","genus","species","Lambda","LambdaP_Val","BlombergsK","BlombergsP_Val","PhyloSpeciesNm"
"1","PLT_00000001",-0.079111,12.334306,2004,278,278,31.9448921492086,62,3.42546222971305,0.947492365819575,19.0448496796451,374379.391474121,0.607872542977398,0.14453677508326,0.342360116333333,0.9047186342,NA,0.701237672822264,0.48215100641951,0.8905,1,0,0,0.207977207977208,0.0997150997150997,0.692307692307692,7.36983318701435e-05,1,0.533469151394981,0.297,20
"2","PLT_00000002",-0.1078,10.826017,2012,40,800,15.425,22,2.87163710347706,0.9275,13.7931034482759,14525.012262203,0.64117455616527,0.145702622131022,0.319905918888889,0.8764742587,NA,0.633879776199349,0.463302329546667,0.8764742587,1,0,0,0.148936170212766,0.106382978723404,0.74468085106383,0.353589398525974,0.676495142780223,0.403275583290572,0.435,12
"3","PLT_00000003",-0.1078,10.826018,2012,20,400,27.665,15,2.62299627608579,0.92,12.5,21622.521947138,0.649860371534575,0.128684341401165,0.437067607333333,0.8764742587,NA,0.651747217090197,0.485897975775,0.8764742587,1,0,0,0.0909090909090909,0.227272727272727,0.681818181818182,4.71144223379588e-05,1,0.500730691720897,0.909000000000001,7
"4","PLT_00000004",-0.108083,10.8282,2012,25,500,21.66,11,2.16877717179209,0.8608,7.18390804597701,11380.7256929128,0.77970272308365,0.131607819360749,0.53125503395122,0.917500534851064,NA,0.809004788675316,0.542132681333333,0.917500534851064,1,0,0,0.242424242424242,0.212121212121212,0.545454545454545,NA,NA,NA,NA,4
"5","PLT_00000005",-0.108217,10.827617,2012,25,500,21.928,14,2.51159468002949,0.9088,10.9649122807018,15147.8487137404,0.707509972326409,0.108605089288715,0.4646831044,0.917500534851064,NA,0.706331820694316,0.542132681333333,0.917500534851064,1,0,0,0.193548387096774,0.258064516129032,0.548387096774194,4.74771219578742e-05,1,0.314251142819366,0.972000000000001,7
"6","PLT_00000006",-0.146889,12.271278,2002,143,143,30.5622379062937,49,3.47008584684007,0.954765514206074,22.107027027027,146162.254254644,0.574691832265335,0.12221295763948,0.342360116333333,0.889055514095238,NA,0.629535276983538,0.4228917314,0.801,1,0,0,0.133333333333333,0.0848484848484849,0.781818181818182,7.36983318701435e-05,1,0.244188833932634,0.987000000000001,18
"7","PLT_00000007",-0.17,11.58,2009,49,49,27.2959183673469,11,1.85488939845775,0.77884214910454,4.52165725047081,35729.5295988176,0.44753559379106,0.2054233992671,0.375935125010309,0.90505,NA,0.623715061762439,0.375935125010309,0.90505,1,0,0,0.02,0.28,0.7,NA,NA,NA,NA,3
"8","PLT_00000008",-0.18,11.57,2016,542,542,21.1230627306273,50,2.95365958652578,0.903446303835732,10.3569313213933,299071.271839271,0.629209214729922,0.107964126048328,0.375935125010309,0.917344273708333,NA,0.640930414697286,0.48,0.889055514095238,1,0,0,0.0198915009041591,0.55877034358047,0.421338155515371,7.36983318701435e-05,1,0.373783772819701,0.668,23
"9","PLT_00000009",-0.190306,12.203389,2001,220,220,27.7727272639545,67,3.76672234288601,0.966942148760331,30.25,199669.921451186,0.549825296800783,0.136323099269114,0.342360116333333,0.917500534851064,NA,0.630450909926616,0.375935125010309,0.834746412953181,1,0,0,0.140625,0.234375,0.625,7.23728795120108e-05,1,0.466885479829667,0.211,23
"10","PLT_00000010",-0.19,11.58,2016,517,517,24.2336557059961,14,1.42834721054239,0.678531477165166,3.11072446901367,290059.589750504,0.566044441927359,0.221760222133191,0.327603620505447,0.917500534851064,NA,0.562880223966018,0.375935125010309,0.917344273708333,1,0,0,0.0208333333333333,0.0435606060606061,0.935606060606061,7.3072528504892e-05,1,0.311802170411558,0.719000000000001,7
"11","PLT_00000011",-0.19,11.58,2016,371,371,26.3153638814016,44,2.74330657056151,0.875640252541031,8.0411871239119,331042.357066967,0.493825634571313,0.202082083057177,0.327603620505447,0.917500534851064,NA,0.740301019732585,0.375935125010309,0.90505,1,0,0,0.0607594936708861,0.184810126582278,0.754430379746835,1.04275168133449,0.160843881337945,0.606663064482997,0.028,20
"12","PLT_00000012",-0.19,11.58,2009,16,16,44.10625,9,1.97700617290886,0.828125,5.81818181818182,35778.7112318095,0.42110666491572,0.157992917062715,0.375935125010309,0.833786602580645,NA,0.728098343442061,0.375935125010309,0.777049308863911,1,0,0,0.157894736842105,0.0526315789473684,0.789473684210526,7.3072528503279e-05,1,0.288516850048145,0.536,7
"13","PLT_00000013",-0.19,11.59,2009,44,44,33.9454545454545,10,1.77110581324373,0.759297520661157,4.15450643776824,65794.4220680208,0.410115753765702,0.226382107413441,0.375935125010309,0.90505,NA,0.707449855685813,0.375935125010309,0.903314638520183,1,0,0,0,0.0454545454545455,0.954545454545455,6.90521449816282e-05,1,0.924187308570242,0.279,6
"14","PLT_00000014",-0.19,11.59,2009,17,17,30.0941176470588,14,2.58857316268212,0.920415224913495,12.5652173913043,15434.5818752336,0.626226443071094,0.110435943077271,0.506470383368421,0.89348092346789,NA,0.656062383264024,0.509320851759399,0.828665024907864,1,0,0,0.15,0.35,0.5,6.90521449816282e-05,1,0.916338693076173,0.379,7
"15","PLT_00000015",-0.19,11.61,2009,16,16,17.9375,5,1.03739232462091,0.5,2,4851.09029604068,0.801323450581163,0.159958669764138,0.488467995166667,0.89348092346789,NA,0.568462029060902,0.488467995166667,0.89348092346789,1,0,0,0,0.0625,0.9375,NA,NA,NA,NA,3
