"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6259.158203125,1,0.358488753031547
"2","CHELSA_Annual_Mean_Temperature",4984.21142578125,0.796306989539391,0.285467099710281
"3","Human_Disturbance",1576.62084960938,0.251890238023097,0.0902998173297195
"4","SoilMoisture",1553.17211914062,0.248143930659106,0.0889568082743296
"5","cnRatio",962.517456054688,0.153777460933027,0.0551274902142381
"6","ForestAge",816.550964355469,0.130456994032806,0.0467673651150647
"7","Lai",729.534912109375,0.116554796736906,0.041783583742059
"8","DimtrMn",346.863861083984,0.055417014529335,0.0198663764353524
"9","Richnss",227.098068237305,0.0362825256795589,0.0130068773877002
"10","Fire_Frequency",4.11753368377686,0.000657841446110293,0.000235828759708549
