Family,SpeciesName,WoodDensity,Latitude,Longitude
NA,Pinus sylvestris L.,1.375,52.5,1.88
NA,Pinus sylvestris L.,0.936842105,52.5,1.88
NA,Pinus sylvestris L.,0.6,65.22,33.17
NA,Pinus sylvestris L.,0.624324324,65.22,33.17
NA,Pinus sylvestris L.,0.611688312,65.22,33.17
NA,Pinus sylvestris L.,0.610384615,65.22,33.17
NA,Pinus sylvestris L.,0.582531646,65.22,33.17
NA,Pinus sylvestris L.,0.620503597,65.22,33.17
NA,Pinus sylvestris L.,0.611424731,65.22,33.17
NA,Pinus sylvestris L.,0.618456726,65.22,33.17
NA,Pinus sylvestris L.,0.62046396,65.22,33.17
NA,Pinus sylvestris L.,0.62472973,65.22,33.17
NA,Pinus sylvestris L.,0.625717501,65.22,33.17
NA,Pinus sylvestris L.,0.72,62.22,34.17
NA,Pinus sylvestris L.,0.725,62.22,34.17
NA,Pinus sylvestris L.,0.728,62.22,34.17
NA,Pinus sylvestris L.,0.70952381,62.22,34.17
NA,Pinus sylvestris L.,0.70952381,62.22,34.17
NA,Pinus sylvestris L.,0.71,62.22,34.17
NA,Pinus sylvestris L.,0.712195122,62.22,34.17
NA,Pinus sylvestris L.,0.72,62.22,34.17
NA,Pinus sylvestris L.,0.720588235,62.22,34.17
NA,Pinus sylvestris L.,0.72749004,62.22,34.17
NA,Pinus sylvestris L.,0.726973684,62.22,34.17
NA,Pinus sylvestris L.,0.734078212,62.22,34.17
NA,Pinus sylvestris L.,0.666,62.22,34.17
NA,Pinus sylvestris L.,0.669230769,62.22,34.17
NA,Pinus sylvestris L.,0.696153846,62.22,34.17
NA,Pinus sylvestris L.,0.695454545,62.22,34.17
NA,Pinus sylvestris L.,0.689393939,62.22,34.17
NA,Pinus sylvestris L.,0.705319149,62.22,34.17
NA,Pinus sylvestris L.,0.7078125,62.22,34.17
NA,Pinus sylvestris L.,0.707738095,62.22,34.17
NA,Pinus sylvestris L.,0.710798122,62.22,34.17
NA,Pinus sylvestris L.,0.713740458,62.22,34.17
NA,Pinus sylvestris L.,0.718037975,62.22,34.17
NA,Pinus sylvestris L.,0.718518519,62.22,34.17
NA,Pinus sylvestris L.,0.722171946,62.22,34.17
NA,Pinus sylvestris L.,0.724950884,62.22,34.17
NA,Pinus sylvestris L.,0.721232877,62.22,34.17
NA,Pinus sylvestris L.,0.721092564,62.22,34.17
NA,Pinus sylvestris L.,0.719647696,62.22,34.17
NA,Pinus sylvestris L.,0.718126521,62.22,34.17
NA,Pinus sylvestris L.,0.64,62.22,34.17
NA,Pinus sylvestris L.,0.685714286,62.22,34.17
NA,Pinus sylvestris L.,0.662962963,62.22,34.17
NA,Pinus sylvestris L.,0.672340426,62.22,34.17
NA,Pinus sylvestris L.,0.677142857,62.22,34.17
NA,Pinus sylvestris L.,0.684313725,62.22,34.17
NA,Pinus sylvestris L.,0.682733813,62.22,34.17
NA,Pinus sylvestris L.,0.690055249,62.22,34.17
NA,Pinus sylvestris L.,0.692173913,62.22,34.17
NA,Pinus sylvestris L.,0.697192982,62.22,34.17
NA,Pinus sylvestris L.,0.7,62.22,34.17
NA,Pinus sylvestris L.,0.700244499,62.22,34.17
NA,Pinus sylvestris L.,0.703974895,62.22,34.17
NA,Pinus sylvestris L.,0.705605787,62.22,34.17
NA,Pinus sylvestris L.,0.704588608,62.22,34.17
NA,Pinus sylvestris L.,0.6,62.22,34.17
NA,Pinus sylvestris L.,0.633333333,62.22,34.17
NA,Pinus sylvestris L.,0.644827586,62.22,34.17
NA,Pinus sylvestris L.,0.657142857,62.22,34.17
NA,Pinus sylvestris L.,0.663157895,62.22,34.17
NA,Pinus sylvestris L.,0.666972477,62.22,34.17
NA,Pinus sylvestris L.,0.668456376,62.22,34.17
NA,Pinus sylvestris L.,0.672164948,62.22,34.17
NA,Pinus sylvestris L.,0.675609756,62.22,34.17
NA,Pinus sylvestris L.,0.679934211,62.22,34.17
NA,Pinus sylvestris L.,0.682016349,62.22,34.17
NA,Pinus sylvestris L.,0.68045977,62.22,34.17
NA,Pinus sylvestris L.,0.684872299,62.22,34.17
NA,Pinus sylvestris L.,0.688964346,62.22,34.17
NA,Pinus sylvestris L.,0.69076006,62.22,34.17
NA,Pinus sylvestris L.,0.688552632,62.22,34.17
NA,Pinus sylvestris L.,0.690537383,62.22,34.17
NA,Pinus sylvestris L.,0.691491597,62.22,34.17
NA,Pinus sylvestris L.,0.693018868,62.22,34.17
NA,Pinus sylvestris L.,0.6,62.22,34.17
NA,Pinus sylvestris L.,0.664285714,62.22,34.17
NA,Pinus sylvestris L.,0.657142857,62.22,34.17
NA,Pinus sylvestris L.,0.64375,62.22,34.17
NA,Pinus sylvestris L.,0.65890411,62.22,34.17
NA,Pinus sylvestris L.,0.662616822,62.22,34.17
NA,Pinus sylvestris L.,0.666896552,62.22,34.17
NA,Pinus sylvestris L.,0.674603175,62.22,34.17
NA,Pinus sylvestris L.,0.67625,62.22,34.17
NA,Pinus sylvestris L.,0.679391892,62.22,34.17
NA,Pinus sylvestris L.,0.68627451,62.22,34.17
NA,Pinus sylvestris L.,0.687971698,62.22,34.17
NA,Pinus sylvestris L.,0.688306452,62.22,34.17
NA,Pinus sylvestris L.,0.692682927,62.22,34.17
NA,Pinus sylvestris L.,0.693587786,62.22,34.17
NA,Pinus sylvestris L.,0.694204852,62.22,34.17
NA,Pinus sylvestris L.,0.691726619,62.22,34.17
NA,Pinus sylvestris L.,0.693326157,62.22,34.17
NA,Pinus sylvestris L.,0.692449177,62.22,34.17
NA,Pinus sylvestris L.,0.68,62.22,34.17
NA,Pinus sylvestris L.,0.669230769,62.22,34.17
NA,Pinus sylvestris L.,0.684615385,62.22,34.17
NA,Pinus sylvestris L.,0.660869565,62.22,34.17
NA,Pinus sylvestris L.,0.679411765,62.22,34.17
NA,Pinus sylvestris L.,0.682653061,62.22,34.17
NA,Pinus sylvestris L.,0.693233083,62.22,34.17
NA,Pinus sylvestris L.,0.702312139,62.22,34.17
NA,Pinus sylvestris L.,0.703181818,62.22,34.17
NA,Pinus sylvestris L.,0.706296296,62.22,34.17
NA,Pinus sylvestris L.,0.70668693,62.22,34.17
NA,Pinus sylvestris L.,0.709462916,62.22,34.17
NA,Pinus sylvestris L.,0.712445415,62.22,34.17
NA,Pinus sylvestris L.,0.713472486,62.22,34.17
NA,Pinus sylvestris L.,0.712956811,62.22,34.17
NA,Pinus sylvestris L.,0.68,62.22,34.17
NA,Pinus sylvestris L.,0.708333333,62.22,34.17
NA,Pinus sylvestris L.,0.708,62.22,34.17
NA,Pinus sylvestris L.,0.68372093,62.22,34.17
NA,Pinus sylvestris L.,0.6875,62.22,34.17
NA,Pinus sylvestris L.,0.694565217,62.22,34.17
NA,Pinus sylvestris L.,0.6976,62.22,34.17
NA,Pinus sylvestris L.,0.709756098,62.22,34.17
NA,Pinus sylvestris L.,0.709134615,62.22,34.17
NA,Pinus sylvestris L.,0.714453125,62.22,34.17
NA,Pinus sylvestris L.,0.716720257,62.22,34.17
NA,Pinus sylvestris L.,0.721525886,62.22,34.17
NA,Pinus sylvestris L.,0.721911422,62.22,34.17
NA,Pinus sylvestris L.,0.721659919,62.22,34.17
NA,Pinus sylvestris L.,0.723362832,62.22,34.17
NA,Pinus sylvestris L.,1.22,64,39.5
NA,Pinus sylvestris L.,1.236,64,39.5
