Family,SpeciesName,WoodDensity,latitude,longitude
Aceraceae,Acer saccharum,1.21,46.91,-71.67
Aceraceae,Acer saccharum,1.04,46.91,-71.67
Aceraceae,Acer saccharum,1.06,46.91,-71.67
Aceraceae,Acer saccharum,1.04,46.91,-71.67
Aceraceae,Acer saccharum,0.98,46.91,-71.67
Aceraceae,Acer saccharum,1.1,46.91,-71.67
Aceraceae,Acer saccharum,1.07,46.91,-71.67
Aceraceae,Acer saccharum,1.17,46.91,-71.67
Aceraceae,Acer saccharum,1.07,46.91,-71.67
Aceraceae,Acer saccharum,1.13,46.91,-71.67
Aceraceae,Acer saccharum,0.96,46.91,-71.67
Aceraceae,Acer saccharum,1.06,46.91,-71.67
Aceraceae,Acer saccharum,1.07,46.91,-71.67
Aceraceae,Acer saccharum,0.98,46.91,-71.67
Aceraceae,Acer saccharum,1.04,46.91,-71.67
Aceraceae,Acer saccharum,1.02,46.91,-71.67
Aceraceae,Acer saccharum,1.04,46.91,-71.67
Aceraceae,Acer saccharum,0.99,46.91,-71.67
Aceraceae,Acer saccharum,1,46.91,-71.67
Aceraceae,Acer saccharum,1.3,46.91,-71.67
Aceraceae,Acer saccharum,1,46.91,-71.67
Aceraceae,Acer saccharum,1.01,46.91,-71.67
Aceraceae,Acer saccharum,1.01,46.91,-71.67
Aceraceae,Acer saccharum,1.1,46.91,-71.67
Aceraceae,Acer saccharum,1.05,46.91,-71.67
Aceraceae,Acer saccharum,1.05,46.91,-71.67
Aceraceae,Acer saccharum,1.08,46.91,-71.67
Aceraceae,Acer saccharum,1.2,46.91,-71.67
Aceraceae,Acer saccharum,1.08,46.91,-71.67
Aceraceae,Acer saccharum,1.13,46.91,-71.67
Aceraceae,Acer saccharum,1.06,46.91,-71.67
Aceraceae,Acer saccharum,1.11,46.91,-71.67
Aceraceae,Acer saccharum,1.13,46.91,-71.67
Aceraceae,Acer saccharum,1.09,46.91,-71.67
Aceraceae,Acer saccharum,1.08,46.91,-71.67
Aceraceae,Acer saccharum,1.06,46.91,-71.67
Aceraceae,Acer saccharum,1,46.91,-71.67
Aceraceae,Acer saccharum,0.97,46.91,-71.67
Aceraceae,Acer saccharum,1.04,46.91,-71.67
Aceraceae,Acer saccharum,0.98,46.91,-71.67
Aceraceae,Acer saccharum,1.02,46.91,-71.67
Aceraceae,Acer saccharum,1.03,46.91,-71.67
Aceraceae,Acer saccharum,1.01,46.91,-71.67
Aceraceae,Acer saccharum,1.02,46.91,-71.67
Aceraceae,Acer saccharum,0.99,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.92,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.94,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.8,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.9,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.9,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.84,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.95,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.91,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.84,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.87,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.95,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.93,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.86,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.79,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.85,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.9,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.85,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.87,46.91,-71.67
Betulaceae,Betula alleghaniensis,1.04,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.98,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.93,46.91,-71.67
Betulaceae,Betula alleghaniensis,1.06,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.84,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.89,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.87,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.87,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.92,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.84,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.88,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.99,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.89,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.87,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.9,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.82,46.91,-71.67
Betulaceae,Betula alleghaniensis,0.96,46.91,-71.67
Meliaceae,Lansium parasiticum,0.85,-1.590796,102.24864
Meliaceae,Lansium parasiticum,0.85,-1.590796,102.24864
Meliaceae,Lansium parasiticum,0.85,-1.590796,102.24864
Meliaceae,Lansium parasiticum,0.85,-1.590796,102.24864
