Family,SpeciesName,WoodDensity
Fabaceae,Abarema jupunba,0.78
Fabaceae,Abarema jupunba,0.66
Fabaceae,Abarema jupunba,0.551
Fabaceae,Abarema jupunba,0.534
Fabaceae,Abarema jupunba,0.551
Fabaceae,Abarema jupunba,0.5
Fabaceae,Abarema jupunba,0.52
Fabaceae,Abarema macradenia,0.438
Pinaceae,Abies alba,0.353
Pinaceae,Abies amabilis,0.4
Pinaceae,Abies arizonica,0.289
Pinaceae,Abies balsamea,0.33
Pinaceae,Abies concolor,0.37
Pinaceae,Abies delavayi,0.4
Pinaceae,Abies ernestii,0.36
Pinaceae,Abies fabri,0.373
Pinaceae,Abies fargesii,0.34
Pinaceae,Abies faxoniana,0.385
Pinaceae,Abies forrestii,0.35
Pinaceae,Abies georgei,0.441
Pinaceae,Abies georgei,0.425
Pinaceae,Abies grandis,0.35
Pinaceae,Abies guatemalensis,0.43
Pinaceae,Abies holophylla,0.336
Pinaceae,Abies lasiocarpa,0.31
Pinaceae,Abies magnifica,0.36
Pinaceae,Abies nephrolepis,0.331
Pinaceae,Abies nephrolepis,0.316
Pinaceae,Abies pindrow,0.38
Pinaceae,Abies pinsapo,0.41
Pinaceae,Abies procera,0.37
Pinaceae,Abies religiosa,0.38
Menispermaceae,Abuta rufescens,0.45
Fabaceae,Acacia acradenia,0.904
Fabaceae,Acacia acuminata,0.895
Fabaceae,Acacia acuminata,1.008
Fabaceae,Acacia adsurgens,0.887
Fabaceae,Acacia albicorticata,0.49
Fabaceae,Acacia alleniana,0.56
Fabaceae,Acacia ampliceps,0.568
Fabaceae,Acacia amythethophylla,1.007
Fabaceae,Acacia aneura,1.033
Fabaceae,Acacia aneura,1.035
Fabaceae,Acacia aneura,1.019
Fabaceae,Acacia aneura,0.929
Fabaceae,Acacia aneura,0.861
Fabaceae,Acacia aneura,0.996
Fabaceae,Acacia aneura,1.044
Fabaceae,Acacia aneura,0.92
Fabaceae,Acacia aneura,0.982
Fabaceae,Acacia angustissima,0.85
Fabaceae,Acacia arabica,0.86
Fabaceae,Acacia aroma,0.808
Fabaceae,Acacia atkinsiana,0.89
Fabaceae,Acacia aulacocarpa,0.581
Fabaceae,Acacia aulacocarpa,0.612
Fabaceae,Acacia aulacocarpa,0.594
Fabaceae,Acacia aulacocarpa,0.689
Fabaceae,Acacia aulacocarpa,0.86
Fabaceae,Acacia aulacocarpa,0.594
Fabaceae,Acacia auriculiformis,0.68
Fabaceae,Acacia bakeri,0.771
Fabaceae,Acacia bidwillii,0.67
Fabaceae,Acacia bivenosa,0.65
Fabaceae,Acacia bivenosa,0.62
Fabaceae,Acacia brachystachya,1.01
Fabaceae,Acacia brachystachya,0.97
Fabaceae,Acacia cambagei,1.048
Fabaceae,Acacia cambagei,1.099
Fabaceae,Acacia cambagei,1.06
Fabaceae,Acacia cambagei,1.158
Fabaceae,Acacia cambagei,1.05
Fabaceae,Acacia catechu,0.801
Fabaceae,Acacia caven,0.765
Fabaceae,Acacia caven,0.8
Fabaceae,Acacia chisholmii,0.76
Fabaceae,Acacia chisholmii,0.827
Fabaceae,Acacia chundra,0.98
Fabaceae,Acacia citrinoviridis,0.88
Fabaceae,Acacia citrinoviridis,0.81
Fabaceae,Acacia cochliacantha,0.94
Fabaceae,Acacia colei,0.61
Fabaceae,Acacia colei,0.766
Fabaceae,Acacia collinsii,0.8
Fabaceae,Acacia concurrens,0.758
Fabaceae,Acacia confusa,0.713
Fabaceae,Acacia confusa,0.753
Fabaceae,Acacia confusa,0.672
Fabaceae,Acacia confusa,0.791
Fabaceae,Acacia coriacea,0.96
Fabaceae,Acacia coriacea,0.916
Fabaceae,Acacia craspedocarpa,0.887
Fabaceae,Acacia crassicarpa,0.577
Fabaceae,Acacia crassicarpa,0.618
Fabaceae,Acacia crassicarpa,0.581
Fabaceae,Acacia crassicarpa,0.61
Fabaceae,Acacia dealbata,0.568
Fabaceae,Acacia dealbata,0.6
Fabaceae,Acacia dealbata,0.572
Fabaceae,Acacia dealbata,0.607
Fabaceae,Acacia decurrens,0.551
Fabaceae,Acacia decurrens,0.551
Fabaceae,Acacia decurrens,0.582
Fabaceae,Acacia decurrens,0.539
Fabaceae,Acacia dictyophleba,0.762
Fabaceae,Acacia difficilis,0.77
Fabaceae,Acacia difficilis,0.784
Fabaceae,Acacia doratoxylon,0.788
Fabaceae,Acacia elata,0.51
Fabaceae,Acacia erioloba,1.059
Fabaceae,Acacia eriopoda,0.9
Fabaceae,Acacia excelsa,0.938
Fabaceae,Acacia excelsa,0.937
Fabaceae,Acacia fasciculifera,0.964
Fabaceae,Acacia ferruginea,0.88
Fabaceae,Acacia furcatispina,0.869
Fabaceae,Acacia galpinii,0.659
Fabaceae,Acacia georginae,0.775
Fabaceae,Acacia gerrardii,0.775
Fabaceae,Acacia glaucocarpa,0.78
Fabaceae,Acacia goetzei,0.883
Fabaceae,Acacia grasbyi,1.054
Fabaceae,Acacia grasbyi,0.86
Fabaceae,Acacia grasbyi,1.032
Fabaceae,Acacia harpophylla,0.908
Fabaceae,Acacia harpophylla,0.884
Fabaceae,Acacia harpophylla,0.883
Fabaceae,Acacia harpophylla,0.91
Fabaceae,Acacia hemignosta,0.646
Fabaceae,Acacia hemsleyi,0.6
Fabaceae,Acacia hindsii,0.78
Fabaceae,Acacia holosericea,0.749
Fabaceae,Acacia implexa,0.589
Fabaceae,Acacia implexa,0.689
Fabaceae,Acacia irrorata,0.551
Fabaceae,Acacia jennerae,0.742
Fabaceae,Acacia karroo,0.689
Fabaceae,Acacia laccata,0.723
Fabaceae,Acacia lasiocalyx,0.684
Fabaceae,Acacia leucophloea,0.45
Fabaceae,Acacia longifolia,0.51
Fabaceae,Acacia maconochieana,0.8
Fabaceae,Acacia maconochieana,0.801
Fabaceae,Acacia macracantha,0.73
Fabaceae,Acacia maidenii,0.62
Fabaceae,Acacia mangium,0.448
Fabaceae,Acacia mangium,0.474
Fabaceae,Acacia mangium,0.519
Fabaceae,Acacia mangium,0.474
Fabaceae,Acacia mangium,0.594
Fabaceae,Acacia mangium,0.49
Fabaceae,Acacia mangium,0.55
Fabaceae,Acacia mayana,0.73
Fabaceae,Acacia mearnsii,0.671
Fabaceae,Acacia mearnsii,0.65
Fabaceae,Acacia mearnsii,0.658
Fabaceae,Acacia melanoxylon,0.568
Fabaceae,Acacia melanoxylon,0.57
Fabaceae,Acacia melanoxylon,0.389
Fabaceae,Acacia melanoxylon,0.416
Fabaceae,Acacia melanoxylon,0.637
Fabaceae,Acacia melanoxylon,0.555
Fabaceae,Acacia melanoxylon,0.559
Fabaceae,Acacia melanoxylon,0.551
Fabaceae,Acacia mellifera,0.947
Fabaceae,Acacia modesta,0.835
Fabaceae,Acacia murrayana,0.519
Fabaceae,Acacia nilotica,0.654
Fabaceae,Acacia nilotica,0.689
Fabaceae,Acacia nilotica,0.827
