Family,SpeciesName,WoodDensity,Reference,,,,,,
NA,Afzelia bella,0.637,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Cecropia peltata,0.317,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.258,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.26,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.285,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.301,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.25,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.238,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.354,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.26,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.284,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.25,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.26,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.283,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.26,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Ceiba pentandra,0.276,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Garcinia epunctata,0.78,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Garcinia epunctata,0.824,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Garcinia epunctata,0.78,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.56,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.56,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.77,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.48,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.465,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.507,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.48,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.47,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.48,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.524,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Guarea cedrata,0.497,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.689,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.32,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.68,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.63,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.645,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.67,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.63,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.656,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.683,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nauclea diderrichii,0.648,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.663,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.48,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.65,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.568,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.645,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.65,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.634,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.653,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Nesogordonia papaverifera,0.648,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
