Family,SpeciesName,WoodDensity,Lat
Altingiaceae,Altingia excelsa,0.811,22
Altingiaceae,Liquidambar formosana,0.573,25.3
Altingiaceae,Altingia yunnanensis,0.768,23
Altingiaceae,Altingia gracilipes,0.692,25.9
Altingiaceae,Altingia chinensis,0.727,24.9
Altingiaceae,Altingia obovata,0.79,19.2
Altingiaceae,Liquidambar acalycina,0.724,24.9
Anacardiaceae,Dracontomelon marcrocarpum,0.648,21.5
Anacardiaceae,Mangifera sylvatica,0.574,21.5
Anacardiaceae,Pistacia chinensis,0.713,34.7
Anacardiaceae,Choerospondias axillaris,0.55,23.15
Anacardiaceae,Toxicodendron vernicifluum,0.496,33.3
Anacardiaceae,Spondias pinnata,0.26,20.1
Anacardiaceae,Lannea coromandelica,0.49,20.1
Anacardiaceae,Toxicodendron succedaneum,0.612,28.2
Anacardiaceae,Toxicodendron sylvestre,0.703,25.9
Anacardiaceae,Rhus Potaninii,0.542,28.2
Apocynaceae,Alstonia scholaris,0.468,22
Apocynaceae,Winchia calophylla,0.534,20.1
Apocynaceae,Alstonia glaucescens,0.447,21.5
Aquifoliaceae,Ilex pseudomachilifolia,0.701,23
Aquifoliaceae,Ilex Purpurea,0.785,24.7
Aquifoliaceae,Ilex sterrophylla,0.748,18.6
Araliaceae,Schefflera chinensis,0.436,25.1
Araliaceae,Schefflera octophylla,0.45,25
Araliaceae,Kalopanax septemlobus,0.452,34.9
Betulaceae,Betula alnoides var.pyrifclia,0.617,21.5
Betulaceae,Betula utilis var.sinensis,0.608,30.4
Betulaceae,Alnus nepalensis,0.503,25.7
Betulaceae,Alnus trabeculosa,0.533,30.9
Betulaceae,Carpinus londoniana,0.651,18.7
Betulaceae,Betula insignis,0.705,35.6
Betulaceae,Betula alnoides,0.666,23
Betulaceae,Betula utilis,0.808,26.7
Betulaceae,Betula platyphylla,0.634,35.6
Betulaceae,Betula costata,0.744,43.9
Betulaceae,Betula cylindrostachya,0.59,25.4
Betulaceae,Ostrya japonica,0.797,33.96
Betulaceae,Alnus sibirica,0.49,30.9
Betulaceae,Carpinus fangiana,0.638,29.15
Betulaceae,Corylus chinensis,0.649,23
Bignoniaceae,Catalpa fargesii,0.544,21.5
Bignoniaceae,Radermachera yunnanensis,0.584,22.8
Bignoniaceae,Markhumia stipalata,0.599,21.5
Bignoniaceae,Radermachera microcalyx,0.567,21.5
Bignoniaceae,Stereospermum tetragonum,0.813,21.5
Bignoniaceae,Catalpa duclouxii,0.472,25.7
Bignoniaceae,Catalpa bungei,0.617,33.65
Bignoniaceae,Radermachera sinica,0.732,24.7
Bignoniaceae,Markhamia cauda-felina,0.752,18.7
Burseraceae,Garuga floribunda var. gemblei,0.69,21.5
Burseraceae,Garuga pinnata,0.709,24.1
Burseraceae,Canarium album,0.498,18.7
Burseraceae,Canarium pimela,0.615,18.7
Cannabaceae,Celtis kunmingensis,0.463,25.1
Cannabaceae,Celtis tetrandra,0.54,25.1
Cannabaceae,Celtis yunnanensis,0.638,25.7
Cannabaceae,Celtis sinensis,0.674,28.2
Cannabaceae,Celtis bungenana,0.678,30.3
Cannabaceae,Trema orientalis,0.382,22.8
Casuarinaceae,Casuarina cunninghamiana,0.803,25.9
Casuarinaceae,Casuarina glauca,0.784,25.9
Casuarinaceae,Casuarina equisetifolia,0.859,25.9
Cephalotaxaceae,Cephalotaxus mannii,0.703,21.5
Cephalotaxaceae,Torreya grandis,0.499,29.9
Cephalotaxaceae,Cephalotaxus fortunei,0.629,25.9
Clusiaceae,Garcinia paucinervis,0.998,22.4
Clusiaceae,Garcinia oblongifolia,0.71,18.7
Clusiaceae,Garcinia tinctoria,0.955,22
Clusiaceae,Garcinia multiflora,0.858,22
Clusiaceae,Mesua ferrea,1.082,22
Clusiaceae,Calophyllum polyanthum,0.61,19.6
Clusiaceae,Calophyllum inophyllum,0.66,19.6
