,SpeciesName,Genus,Species,Family,Binomial
1,Aapaca sppNosymang1,Aapaca,,Euphorbiaceae,Aapaca 
2,Abarema ,Abarema,,Fabaceae,Abarema 
3,Abarema acreana,Abarema,acreana,Fabaceae,Abarema acreana
4,Abarema adenophora,Abarema,adenophora,Fabaceae,Abarema adenophora
5,Abarema auriculata,Abarema,auriculata,Fabaceae,Abarema auriculata
6,Abarema barbouriana,Abarema,barbouriana,Fabaceae,Abarema barbouriana
7,Abarema cochleata,Abarema,cochleata,Fabaceae,Abarema cochleata
8,Abarema commutata,Abarema,commutata,Fabaceae,Abarema commutata
9,Abarema curvicarpa,Abarema,curvicarpa,Fabaceae,Abarema curvicarpa
10,Abarema filamentosa,Abarema,filamentosa,Fabaceae,Abarema filamentosa
11,Abarema floribunda,Abarema,floribunda,Fabaceae,Abarema floribunda
12,Abarema idiopoda,Abarema,idiopoda,Fabaceae,Abarema idiopoda
13,Abarema jupunba,Abarema,jupunba,Fabaceae,Abarema jupunba
14,Abarema laeta,Abarema,laeta,Fabaceae,Abarema laeta
15,Abarema langsdorffii,Abarema,langsdorffii,Fabaceae,Abarema langsdorffii
16,Abarema macradenia,Abarema,macradenia,Fabaceae,Abarema macradenia
17,Abarema mataybifolia,Abarema,mataybifolia,Fabaceae,Abarema mataybifolia
18,Abarema microcalyx,Abarema,microcalyx,Fabaceae,Abarema microcalyx
19,Abarema racemiflora,Abarema,racemiflora,Fabaceae,Abarema racemiflora
20,Abarema sppFPnet1,Abarema,,Fabaceae,Abarema 
21,Abarema sppGF1,Abarema,,Fabaceae,Abarema 
22,Abarema sppRAINFOR1,Abarema,,Fabaceae,Abarema 
23,Abarema sppSCA1,Abarema,,Fabaceae,Abarema 
24,Abarema sppTEAM1,Abarema,,Fabaceae,Abarema 
25,Abarema sppTEAM2,Abarema,,Fabaceae,Abarema 
26,Abarema turbinata,Abarema,turbinata,Fabaceae,Abarema turbinata
27,Abatia sppAchupall1,Abatia,,Salicaceae,Abatia 
28,Aberemoa argentea,Aberemoa,argentea,Annonaceae,Aberemoa argentea
29,Abies alba,Abies,alba,Pinaceae,Abies alba
30,Abies amabilis,Abies,amabilis,Pinaceae,Abies amabilis
31,Abies balsamea,Abies,balsamea,Pinaceae,Abies balsamea
32,Abies cephalonica,Abies,cephalonica,Pinaceae,Abies cephalonica
33,Abies concolor,Abies,concolor,Pinaceae,Abies concolor
34,Abies durangensis,Abies,durangensis,Pinaceae,Abies durangensis
35,Abies fabri,Abies,fabri,Pinaceae,Abies fabri
36,Abies firma,Abies,firma,Pinaceae,Abies firma
37,Abies fraseri,Abies,fraseri,Pinaceae,Abies fraseri
38,Abies grandis,Abies,grandis,Pinaceae,Abies grandis
39,Abies holophylla,Abies,holophylla,Pinaceae,Abies holophylla
40,Abies koreana,Abies,koreana,Pinaceae,Abies koreana
41,Abies lasiocarpa,Abies,lasiocarpa,Pinaceae,Abies lasiocarpa
42,Abies magnifica,Abies,magnifica,Pinaceae,Abies magnifica
43,Abies nephrolepis,Abies,nephrolepis,Pinaceae,Abies nephrolepis
44,Abies nordmanniana,Abies,nordmanniana,Pinaceae,Abies nordmanniana
45,Abies pinsapo,Abies,pinsapo,Pinaceae,Abies pinsapo
46,Abies procera,Abies,procera,Pinaceae,Abies procera
47,Abies religiosa,Abies,religiosa,Pinaceae,Abies religiosa
48,Abies shastensis,Abies,shastensis,Pinaceae,Abies shastensis
49,Abies sppDE1,Abies,,Pinaceae,Abies 
50,Abies sppIN1,Abies,,Pinaceae,Abies 
51,Abies sppIT1,Abies,,Pinaceae,Abies 
52,Abies sppUS1,Abies,,Pinaceae,Abies 
53,Abies veitchii,Abies,veitchii,Pinaceae,Abies veitchii
54,Abies vejari,Abies,vejarii,Pinaceae,Abies vejarii
55,Abrahamia ditimena,Abrahamia,ditimena,Anacardiaceae,Abrahamia ditimena
56,Abrahamia lenticellata,Abrahamia,lenticellata,Anacardiaceae,Abrahamia lenticellata
57,Abrahamia thouvenotii,Abrahamia,thouvenotii,Anacardiaceae,Abrahamia thouvenotii
58,Abroma augusta,Abroma,augusta,Malvaceae,Abroma augusta
59,Abuta grandifolia,Abuta,grandifolia,Menispermaceae,Abuta grandifolia
60,Abuta grisebachii,Abuta,grisebachii,Menispermaceae,Abuta grisebachii
61,Abuta pahnii,Abuta,pahnii,Menispermaceae,Abuta pahnii
62,Abuta panamensis,Abuta,panamensis,Menispermaceae,Abuta panamensis
63,Abuta panurensis,Abuta,panurensis,Menispermaceae,Abuta panurensis
64,Abuta racemosa,Abuta,racemosa,Menispermaceae,Abuta racemosa
65,Abuta rufescens,Abuta,rufescens,Menispermaceae,Abuta rufescens
66,Abuta solimoesensis,Abuta,solimoesensis,Menispermaceae,Abuta solimoesensis
67,Abuta sppAnchicay1,Abuta,,Menispermaceae,Abuta 
68,Abuta sppAntado1,Abuta,,Menispermaceae,Abuta 
69,Abuta sppAraracua1,Abuta,,Menispermaceae,Abuta 
70,Abuta sppCamorin1,Abuta,,Menispermaceae,Abuta 
71,Abuta sppConstanc1,Abuta,,Menispermaceae,Abuta 
72,Abuta sppCuangos1,Abuta,,Menispermaceae,Abuta 
73,Abuta sppCuzcoama1,Abuta,,Menispermaceae,Abuta 
74,Abuta sppCuzcoama2,Abuta,,Menispermaceae,Abuta 
75,Abuta sppLinhares1,Abuta,,Menispermaceae,Abuta 
76,Abuta sppNangarit1,Abuta,,Menispermaceae,Abuta 
77,Abuta sppPE1,Abuta,,Menispermaceae,Abuta 
78,Abuta sppPipeline1,Abuta,,Menispermaceae,Abuta 
79,Abuta sppRAINFOR1,Abuta,,Menispermaceae,Abuta 
80,Abuta sppTamboall1,Abuta,,Menispermaceae,Abuta 
81,Abuta sppTamboall2,Abuta,,Menispermaceae,Abuta 
82,Acacia acanthophylla,Acacia,acanthophylla,Fabaceae,Acacia acanthophylla
83,Acacia albicorticata,Acacia,albicorticata,Fabaceae,Acacia albicorticata
84,Acacia alemquerensis,Acacia,alemquerensis,Fabaceae,Acacia alemquerensis
85,Acacia altiscandens,Acacia,altiscandens,Fabaceae,Acacia altiscandens
86,Acacia anegadensis,Acacia,anegadensis,Fabaceae,Acacia anegadensis
87,Acacia aneura,Acacia,aneura,Fabaceae,Acacia aneura
88,Acacia angustissima,Acacia,angustissima,Fabaceae,Acacia angustissima
89,Acacia arabica,Acacia,arabica,Fabaceae,Acacia arabica
90,Acacia argyrodendron,Acacia,argyrodendron,Fabaceae,Acacia argyrodendron
91,Acacia articulata,Acacia,articulata,Fabaceae,Acacia articulata
92,Acacia aulacocarpa,Acacia,aulacocarpa,Fabaceae,Acacia aulacocarpa
93,Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Acacia auriculiformis
94,Acacia bonariensis,Acacia,bonariensis,Fabaceae,Acacia bonariensis
95,Acacia borleae,Acacia,borleae,Fabaceae,Acacia borleae
96,Acacia burkei,Acacia,burkei,Fabaceae,Acacia burkei
97,Acacia caffra,Acacia,caffra,Fabaceae,Acacia caffra
98,Acacia cambagei,Acacia,cambagei,Fabaceae,Acacia cambagei
99,Acacia caven,Acacia,caven,Fabaceae,Acacia caven
100,Acacia concurrens,Acacia,concurrens,Fabaceae,Acacia concurrens
101,Acacia confusa,Acacia,confusa,Fabaceae,Acacia confusa
102,Acacia cornigera,Acacia,cornigera,Fabaceae,Acacia cornigera
103,Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Acacia crassicarpa
104,Acacia dealbata,Acacia,dealbata,Fabaceae,Acacia dealbata
105,Acacia disparrima,Acacia,disparrima,Fabaceae,Acacia disparrima
106,Acacia dolichostachya,Acacia,dolichostachya,Fabaceae,Acacia dolichostachya
107,Acacia doratoxylon,Acacia,doratoxylon,Fabaceae,Acacia doratoxylon
108,Acacia drakei,Acacia,drakei,Fabaceae,Acacia drakei
109,Acacia excelsa,Acacia,excelsa,Fabaceae,Acacia excelsa
110,Acacia falcata,Acacia,falcata,Fabaceae,Acacia falcata
111,Acacia farnesiana,Acacia,farnesiana,Fabaceae,Acacia farnesiana
112,Acacia feddeana,Acacia,feddeana,Fabaceae,Acacia feddeana
113,Acacia fimbriata,Acacia,fimbriata,Fabaceae,Acacia fimbriata
114,Acacia flavescens,Acacia,flavescens,Fabaceae,Acacia flavescens
115,Acacia flexuosa,Acacia,flexuosa,Fabaceae,Acacia flexuosa
116,Acacia gentlei,Acacia,gentlei,Fabaceae,Acacia gentlei
117,Acacia georginae,Acacia,georginae,Fabaceae,Acacia georginae
118,Acacia gerrardii,Acacia,gerrardii,Fabaceae,Acacia gerrardii
119,Acacia glomerosa,Acacia,glomerosa,Fabaceae,Acacia glomerosa
120,Acacia grandicornuta,Acacia,grandicornuta,Fabaceae,Acacia grandicornuta
121,Acacia guadalupensis,Acacia,guadalupensis,Fabaceae,Acacia guadalupensis
122,Acacia hindsii,Acacia,hindsii,Fabaceae,Acacia hindsii
123,Acacia huberi,Acacia,huberi,Fabaceae,Acacia huberi
124,Acacia hybrid,Acacia,,Fabaceae,Acacia 
125,Acacia hylonoma,Acacia,hylonoma,Fabaceae,Acacia hylonoma
126,Acacia implexa,Acacia,implexa,Fabaceae,Acacia implexa
127,Acacia irrorata,Acacia,irrorata,Fabaceae,Acacia irrorata
128,Acacia kamerunensis,Acacia,kamerunensis,Fabaceae,Acacia kamerunensis
129,Acacia karroo,Acacia,karroo,Fabaceae,Acacia karroo
130,Acacia klugii,Acacia,klugii,Fabaceae,Acacia klugii
131,Acacia koa,Acacia,koa,Fabaceae,Acacia koa
132,Acacia koaia,Acacia,koaia,Fabaceae,Acacia koaia
133,Acacia kuhlmannii,Acacia,kuhlmannii,Fabaceae,Acacia kuhlmannii
134,Acacia leiocalyx,Acacia,leiocalyx,Fabaceae,Acacia leiocalyx
135,Acacia loretensis,Acacia,loretensis,Fabaceae,Acacia loretensis
136,Acacia macbridei,Acacia,macbridei,Fabaceae,Acacia macbridei
137,Acacia macracantha,Acacia,macracantha,Fabaceae,Acacia macracantha
138,Acacia macrantha,Acacia,macrantha,Fabaceae,Acacia macrantha
139,Acacia maidenii,Acacia,maidenii,Fabaceae,Acacia maidenii
140,Acacia mangium,Acacia,mangium,Fabaceae,Acacia mangium
141,Acacia mearnsii,Acacia,mearnsii,Fabaceae,Acacia mearnsii
142,Acacia melanoceras,Acacia,melanoceras,Fabaceae,Acacia melanoceras
143,Acacia melanoxylon,Acacia,melanoxylon,Fabaceae,Acacia melanoxylon
144,Acacia muricata,Acacia,muricata,Fabaceae,Acacia muricata
145,Acacia myriophylla,Acacia,myriophylla,Fabaceae,Acacia myriophylla
146,Acacia nigrescens,Acacia,nigrescens,Fabaceae,Acacia nigrescens
147,Acacia nilotica,Acacia,nilotica,Fabaceae,Acacia nilotica
148,Acacia oshanesii,Acacia,oshanesii,Fabaceae,Acacia oshanesii
149,Acacia pendula,Acacia,pendula,Fabaceae,Acacia pendula
150,Acacia pennata,Acacia,pennata,Fabaceae,Acacia pennata
151,Acacia pennatula,Acacia,pennatula,Fabaceae,Acacia pennatula
152,Acacia penninervis,Acacia,penninervis,Fabaceae,Acacia penninervis
153,Acacia pentagona,Acacia,pentagona,Fabaceae,Acacia pentagona
154,Acacia platycarpa,Acacia,platycarpa,Fabaceae,Acacia platycarpa
155,Acacia plectocarpa,Acacia,plectocarpa,Fabaceae,Acacia plectocarpa
156,Acacia podalyriifolia,Acacia,podalyriifolia,Fabaceae,Acacia podalyriifolia
157,Acacia polyphylla,Acacia,polyphylla,Fabaceae,Acacia polyphylla
158,Acacia praecox,Acacia,praecox,Fabaceae,Acacia praecox
159,Acacia pteridifolia,Acacia,pteridifolia,Fabaceae,Acacia pteridifolia
160,Acacia rhodoxylon,Acacia,rhodoxylon,Fabaceae,Acacia rhodoxylon
161,Acacia riparia,Acacia,riparia,Fabaceae,Acacia riparia
162,Acacia rothii,Acacia,rothii,Fabaceae,Acacia rothii
163,Acacia senegal,Acacia,senegal,Fabaceae,Acacia senegal
164,Acacia seyal,Acacia,seyal,Fabaceae,Acacia seyal
165,Acacia sparsiflora,Acacia,sparsiflora,Fabaceae,Acacia sparsiflora
166,Acacia sppAU1,Acacia,,Fabaceae,Acacia 
167,Acacia sppAllpahua1,Acacia,,Fabaceae,Acacia 
168,Acacia sppAnkarif1,Acacia,,Fabaceae,Acacia 
169,Acacia sppAraracua1,Acacia,,Fabaceae,Acacia 
170,Acacia sppCabezade1,Acacia,,Fabaceae,Acacia 
171,Acacia sppCalabate1,Acacia,,Fabaceae,Acacia 
172,Acacia sppCamorin1,Acacia,,Fabaceae,Acacia 
173,Acacia sppCarajas1,Acacia,,Fabaceae,Acacia 
174,Acacia sppChaquima1,Acacia,,Fabaceae,Acacia 
175,Acacia sppChaquima2,Acacia,,Fabaceae,Acacia 
176,Acacia sppChaquima3,Acacia,,Fabaceae,Acacia 
177,Acacia sppChaquima4,Acacia,,Fabaceae,Acacia 
178,Acacia sppCuzcoama1,Acacia,,Fabaceae,Acacia 
179,Acacia sppES1,Acacia,,Fabaceae,Acacia 
180,Acacia sppFPnet1,Acacia,,Fabaceae,Acacia 
181,Acacia sppGT1,Acacia,,Fabaceae,Acacia 
182,Acacia sppGaleraz1,Acacia,,Fabaceae,Acacia 
183,Acacia sppGaleraz2,Acacia,,Fabaceae,Acacia 
184,Acacia sppIT1,Acacia,,Fabaceae,Acacia 
