feature,score,p_value,rank
V45,4555.193871004137,0.0,1
V86,4184.940506853436,0.0,2
V87,4002.078398816539,0.0,3
V44,3973.0682653550966,0.0,4
V52,3217.951719973313,0.0,5
V51,2762.9416626067523,0.0,6
V40,2464.229884987398,0.0,7
V79,2336.611762103494,0.0,8
V39,2227.2717907024557,0.0,9
V43,2179.1614375502213,0.0,10
V94,2168.173600335774,0.0,11
V38,2146.1949317291756,0.0,12
V18,2116.0230573899175,0.0,13
V33,2104.5020230798737,0.0,14
D7,2091.1643283739927,0.0,15
V17,2089.1441059594827,0.0,16
V34,2058.6608605503834,0.0,17
V93,2042.8555025746455,0.0,18
addr2_isna,2034.3488271553783,0.0,19
addr1_isna,2034.3488271553783,0.0,20
V15,2030.553961494888,0.0,21
V92,2003.5647161659285,0.0,22
V74,2001.8693989764304,0.0,23
V16,1984.6977164911393,0.0,24
D12,1980.1549306656148,0.0,25
V81,1973.5761574696585,0.0,26
V42,1961.0153309912757,0.0,27
card3,1945.7327615199815,0.0,28
V80,1860.0045064452722,0.0,29
D14,1830.6615526635007,0.0,30
V50,1793.347205231596,0.0,31
id_10,1760.0976020623511,0.0,32
id_09,1760.09125876293,0.0,33
D9,1759.3904113443314,0.0,34
V85,1755.702469401003,0.0,35
V73,1742.6229215660387,0.0,36
V58,1727.0308423754043,0.0,37
V57,1711.7231671742259,0.0,38
V21,1708.9510234831282,0.0,39
V31,1707.9669273618733,0.0,40
V37,1698.4420398252962,0.0,41
V32,1693.1435650711717,0.0,42
V84,1671.6650519742163,0.0,43
V77,1664.6554915737795,0.0,44
id_20,1611.7841072906704,0.0,45
D6,1604.277637735358,0.0,46
id_17,1582.7110224968792,0.0,47
V22,1581.3148236109337,0.0,48
id_13,1579.0777171085685,0.0,49
id_03,1566.0701670033034,0.0,50
id_04,1565.06343405952,0.0,51
id_11,1538.7886437574125,0.0,52
id_05,1535.0331595239177,0.0,53
id_06,1524.4238956886775,0.0,54
V171,1504.4153346771154,0.0,55
D13,1503.1713890810584,0.0,56
V201,1503.115352943195,0.0,57
V170,1502.5595355174048,0.0,58
V200,1501.9070458252954,0.0,59
V189,1499.7542374822901,0.0,60
V188,1499.009837622732,0.0,61
V169,1496.9348020519906,0.0,62
V198,1496.7247147063972,0.0,63
V208,1496.655713036558,0.0,64
V185,1496.6044569092958,0.0,65
V184,1496.5316097527575,0.0,66
V195,1496.4854105036954,0.0,67
V197,1496.4553983817527,0.0,68
V194,1496.306643708723,5e-324,69
V199,1495.9871456592414,5e-324,70
V174,1495.7814742015985,5e-324,71
V175,1495.760830498756,5e-324,72
V176,1495.0786217444709,5e-324,73
V190,1494.9578073715581,5e-324,74
V180,1494.030808058065,1e-323,75
V187,1493.2322525677928,1e-323,76
V186,1492.7575671795923,1.5e-323,77
V196,1490.4472758148695,4.4e-323,78
V192,1490.4180530299711,4.4e-323,79
V191,1490.3666727658772,4.4e-323,80
V193,1490.3151123334424,5e-323,81
V181,1490.213825921753,5e-323,82
V173,1489.7330926891689,6.4e-323,83
V172,1489.6152921369019,7e-323,84
V183,1489.4630577348548,7.4e-323,85
V182,1488.3972936211583,1.24e-322,86
V210,1482.5774453497904,2.134e-321,87
V72,1479.6524975276095,8.98e-321,88
V167,1477.9555442987337,2.067e-320,89
V177,1477.8799558968083,2.1457e-320,90
V179,1472.2205240002986,3.45974e-319,91
V168,1470.192339021592,9.37124e-319,92
id_01,1468.7989029062537,1.85833e-318,93
V178,1462.482119349777,4.1403235e-317,94
V71,1457.6935387588233,4.3543317e-316,95
V302,1440.8302899224877,1.73001558556e-312,96
V271,1438.5533787828788,5.29750286218e-312,97
V272,1436.2756180001204,1.622885484943e-311,98
id_19,1430.5656440082387,2.68667880045607e-310,99
V270,1415.8048336387062,3.807753476655806e-307,100
V222,1413.2865951247077,1.3133350007690746e-306,101
V304,1412.6947114559132,1.756952206478854e-306,102
V221,1411.0689020661744,3.907712463884133e-306,103
V259,1410.219500148751,5.933352193059089e-306,104
V245,1407.8266700889017,1.924265813296101e-305,105
V220,1406.4392965430332,3.806553817482907e-305,106
V239,1406.3916208081694,3.8968437305798883e-305,107
V238,1406.0680892737003,4.568802475376368e-305,108
V256,1406.041158025656,4.629706923244903e-305,109
V227,1405.9965614853195,4.732351673061046e-305,110
V255,1405.7344530549517,5.383316394308591e-305,111
V251,1405.588760122093,5.783124099953022e-305,112
V250,1405.4444005785424,6.20855355096871e-305,113
V234,1400.9904984436666,5.5481388217133945e-304,114
V214,1378.6004147160809,3.36126133014907e-299,115
V78,1369.6912184536984,2.6904297815915235e-297,116
V63,1362.7806733160196,8.059501927395599e-296,117
V123,1359.9827623613778,3.192557773854928e-295,118
V206,1344.7455831115326,5.757695924923471e-292,119
V64,1335.4640182078833,5.546073358546362e-290,120
V47,1329.0322363627374,1.3145613501496823e-288,121
V218,1324.5855315183892,1.1730912726534969e-287,122
V229,1323.0717139174515,2.4714156822275689e-287,123
V232,1322.7605420035404,2.8804932985853235e-287,124
V258,1322.4027314315758,3.435251143011379e-287,125
V219,1322.3128147715568,3.590712637194142e-287,126
V230,1321.1910568983983,6.23719174848286e-287,127
V257,1321.0604255331914,6.651438547645427e-287,128
V233,1321.054389155675,6.671232033474764e-287,129
V217,1320.702120699739,7.934408280610717e-287,130
V231,1319.8005443920097,1.2366775685602422e-286,131
V228,1319.7953643344306,1.239835021248252e-286,132
V246,1319.6000531624534,1.3649553962242306e-286,133
