classifier,feature_group,n_features,Recall,F2,AUC_PR,Precision,Threshold,policy_status
Logistic Regression,All_541,541,0.8357142857142857,0.3192650536656358,0.39004203324573133,0.09195703432014671,0.35000000000000003,Best recall with accuracy >= 0.70
Logistic Regression,Univariate_winner,50,0.7619047619047619,0.29662588060808304,0.17106329032873915,0.08616047388260635,0.47000000000000003,Best recall with accuracy >= 0.70
Logistic Regression,CFS,4,0.5476190476190477,0.24635818337617824,0.20357924823967016,0.07697456492637215,0.37,Best recall with accuracy >= 0.70
Logistic Regression,CON,1,0.22380952380952382,0.20034100596760443,0.1296542313878054,0.14114114114114115,0.45,Best recall with accuracy >= 0.70
Logistic Regression,DISR,10,0.5738095238095238,0.27605956471935855,0.13951217106398822,0.08975791433891993,0.39,Best recall with accuracy >= 0.70
Logistic Regression,Merged,160,0.7952380952380952,0.30681609406577254,0.293355551919819,0.08875896890778634,0.41000000000000003,Best recall with accuracy >= 0.70
Logistic Regression,Merged_pruned,68,0.780952380952381,0.30303030303030304,0.29949340258336676,0.08788853161843516,0.43,Best recall with accuracy >= 0.70
Logistic Regression,PCA_best,50,0.75,0.2914507772020725,0.22815768439810638,0.08458646616541353,0.47000000000000003,Best recall with accuracy >= 0.70
Decision Tree,All_541,541,0.7142857142857143,0.3691853310361802,0.3914902629608987,0.1258917331095258,0.29000000000000004,Best recall with accuracy >= 0.70
Decision Tree,Univariate_winner,50,0.6976190476190476,0.2910788793959865,0.22483931051064435,0.08738443185207277,0.43,Best recall with accuracy >= 0.70
Decision Tree,CFS,4,0.5142857142857142,0.2544769085768143,0.19496906507763373,0.0842433697347894,0.42000000000000004,Best recall with accuracy >= 0.70
Decision Tree,CON,1,0.22380952380952382,0.20034100596760443,0.12834174883404526,0.14114114114114115,0.45,Best recall with accuracy >= 0.70
Decision Tree,DISR,10,0.5642857142857143,0.2879008746355685,0.1392168300907057,0.09729064039408868,0.36000000000000004,Best recall with accuracy >= 0.70
Decision Tree,Merged,160,0.7333333333333333,0.29406148558334927,0.3217977097358589,0.08658982288445319,0.36000000000000004,Best recall with accuracy >= 0.70
Decision Tree,Merged_pruned,68,0.7285714285714285,0.28042521994134895,0.2844695351651949,0.08103813559322035,0.35000000000000003,Best recall with accuracy >= 0.70
Decision Tree,PCA_best,50,0.6523809523809524,0.263512213887286,0.24372463642452333,0.07786302926967889,0.12,Best recall with accuracy >= 0.70
Random Forest,All_541,541,0.8666666666666667,0.3323593864134405,0.45739826999777977,0.0958904109589041,0.29000000000000004,Best recall with accuracy >= 0.70
Random Forest,Univariate_winner,50,0.8095238095238095,0.3135374400590188,0.2999785260416752,0.09086050240513095,0.34,Best recall with accuracy >= 0.70
Random Forest,CFS,4,0.5333333333333333,0.24658740642888596,0.19731762890926732,0.07826694619147449,0.37,Best recall with accuracy >= 0.70
Random Forest,CON,1,0.22380952380952382,0.20034100596760443,0.12846375519732922,0.14114114114114115,0.45,Best recall with accuracy >= 0.70
Random Forest,DISR,10,0.5666666666666667,0.27648698884758366,0.13499443265842132,0.09070121951219512,0.39,Best recall with accuracy >= 0.70
Random Forest,Merged,160,0.8380952380952381,0.3209921575779683,0.37763789339716974,0.0925585064422824,0.34,Best recall with accuracy >= 0.70
Random Forest,Merged_pruned,68,0.8261904761904761,0.3158565446932459,0.33952898753941846,0.09100445843168109,0.34,Best recall with accuracy >= 0.70
Random Forest,PCA_best,50,0.8095238095238095,0.3115264797507788,0.34456908166377265,0.09001853322742917,0.24000000000000002,Best recall with accuracy >= 0.70
KNN,All_541,541,0.6880952380952381,0.326111487248928,0.34419917201005357,0.10505270810614321,0.05,Best recall with accuracy >= 0.70
KNN,Univariate_winner,50,0.7309523809523809,0.3145491803278688,0.3241164596055124,0.0959375,0.03,Best recall with accuracy >= 0.70
KNN,CFS,4,0.45476190476190476,0.2777777777777778,0.18213082503309386,0.10864618885096701,0.01,Best recall with accuracy >= 0.70
KNN,CON,1,0.11428571428571428,0.13400335008375208,0.11538213642706441,0.43243243243243246,0.01,Best recall with accuracy >= 0.70
KNN,DISR,10,0.4357142857142857,0.2807609696225836,0.11765568218327915,0.11589613679544016,0.060000000000000005,Best recall with accuracy >= 0.70
KNN,Merged,160,0.7214285714285714,0.3226149914821124,0.37098852432618334,0.10046419098143236,0.04,Best recall with accuracy >= 0.70
KNN,Merged_pruned,68,0.7023809523809523,0.3126987492050032,0.35570663741092173,0.09713533091866974,0.04,Best recall with accuracy >= 0.70
KNN,PCA_best,50,0.6571428571428571,0.30831099195710454,0.33677151580691694,0.09871244635193133,0.04,Best recall with accuracy >= 0.70
XGBoost,All_541,541,0.8738095238095238,0.34038211834539045,0.5511368309306626,0.09889517650229049,0.23,Best recall with accuracy >= 0.70
XGBoost,Univariate_winner,50,0.8333333333333334,0.32698056801195813,0.3690963026233712,0.09531590413943355,0.29000000000000004,Best recall with accuracy >= 0.70
XGBoost,CFS,4,0.5142857142857142,0.2554399243140965,0.21309449118382565,0.0847723704866562,0.37,Best recall with accuracy >= 0.70
XGBoost,CON,1,0.22380952380952382,0.20034100596760443,0.1271098247362559,0.14114114114114115,0.45,Best recall with accuracy >= 0.70
XGBoost,DISR,10,0.5428571428571428,0.29015016543649785,0.1676551499368415,0.10137839039573143,0.36000000000000004,Best recall with accuracy >= 0.70
XGBoost,Merged,160,0.8666666666666667,0.3356075972708833,0.46247845704145163,0.09724819663371627,0.3,Best recall with accuracy >= 0.70
XGBoost,Merged_pruned,68,0.8285714285714286,0.3185063152114223,0.4175680641912878,0.09199048374306107,0.3,Best recall with accuracy >= 0.70
XGBoost,PCA_best,50,0.8357142857142857,0.3195557174071377,0.3768727844557255,0.09207764952780692,0.21000000000000002,Best recall with accuracy >= 0.70
