method,rank,feature
univariate_winner,1,M5
univariate_winner,2,M6
univariate_winner,3,M4
univariate_winner,4,D2_isna
univariate_winner,5,TransactionAmt_band
univariate_winner,6,D3_isna
univariate_winner,7,M8
univariate_winner,8,TransactionDT
univariate_winner,9,D5_isna
univariate_winner,10,id_37
univariate_winner,11,V36
univariate_winner,12,M9
univariate_winner,13,M7
univariate_winner,14,V35
univariate_winner,15,id_18
univariate_winner,16,card2
univariate_winner,17,card6
univariate_winner,18,V90
univariate_winner,19,V53
univariate_winner,20,card5
univariate_winner,21,D1
univariate_winner,22,id_38
univariate_winner,23,V29
univariate_winner,24,dist1_isna
univariate_winner,25,V69
univariate_winner,26,V12
univariate_winner,27,V70
univariate_winner,28,D2
univariate_winner,29,M3
univariate_winner,30,V91
univariate_winner,31,card1
univariate_winner,32,DeviceInfo
univariate_winner,33,V75
univariate_winner,34,V30
univariate_winner,35,M2
univariate_winner,36,V48
univariate_winner,37,V13
univariate_winner,38,D15
univariate_winner,39,V76
univariate_winner,40,V49
univariate_winner,41,V54
univariate_winner,42,DeviceType
univariate_winner,43,V288
univariate_winner,44,V61
univariate_winner,45,id_12
univariate_winner,46,D14
univariate_winner,47,P_emaildomain
univariate_winner,48,id_30
univariate_winner,49,id_15
univariate_winner,50,card4
CFS,1,V45
CFS,2,V52
CFS,3,V86
CFS,4,id_10
CON,1,V45
DISR,1,R_emaildomain
DISR,2,V51
DISR,3,id_35
DISR,4,V33
DISR,5,ProductCD
DISR,6,V94
DISR,7,id_31
DISR,8,addr1_isna
DISR,9,id_29
DISR,10,V15
merged,1,V45
merged,2,V86
merged,3,V87
merged,4,V44
merged,5,V52
merged,6,V51
merged,7,V40
merged,8,V79
merged,9,V39
merged,10,id_35
merged,11,V33
merged,12,D7
merged,13,ProductCD
merged,14,V94
merged,15,V34
merged,16,V43
merged,17,V18
merged,18,V15
merged,19,V92
merged,20,V93
merged,21,V17
merged,22,V38
merged,23,addr1_isna
merged,24,addr2_isna
merged,25,V16
merged,26,D12
merged,27,card3
merged,28,V74
merged,29,V42
merged,30,V81
merged,31,R_emaildomain
merged,32,V80
merged,33,V50
merged,34,id_10
merged,35,id_09
merged,36,id_29
merged,37,D9
merged,38,D14
merged,39,V31
merged,40,V73
merged,41,V57
merged,42,V21
merged,43,V32
merged,44,id_28
merged,45,V84
merged,46,V77
merged,47,V85
merged,48,V58
merged,49,D6
merged,50,V37
merged,51,V22
merged,52,id_13
merged,53,id_20
merged,54,id_17
merged,55,id_03
merged,56,M4
merged,57,id_16
merged,58,id_15
merged,59,id_31
merged,60,id_38
merged,61,id_36
merged,62,DeviceInfo
merged,63,id_37
merged,64,id_12
merged,65,DeviceType
merged,66,M6
merged,67,card6
merged,68,M1
merged,69,M3
merged,70,M2
merged,71,M9
merged,72,M7
merged,73,M8
merged,74,id_33
merged,75,P_emaildomain
merged,76,id_34
merged,77,TransactionAmt_band
merged,78,id_30
merged,79,M5
merged,80,id_23
merged,81,id_33_class
merged,82,card4
merged,83,id_27
merged,84,D2_isna
merged,85,D3_isna
merged,86,TransactionDT
merged,87,D5_isna
merged,88,V36
merged,89,V35
merged,90,id_18
merged,91,card2
merged,92,V90
merged,93,V53
merged,94,card5
merged,95,D1
merged,96,V29
merged,97,dist1_isna
merged,98,V69
merged,99,V12
merged,100,V70
merged,101,D2
merged,102,V91
merged,103,card1
merged,104,V75
merged,105,V30
merged,106,V48
merged,107,V13
merged,108,D15
merged,109,V76
merged,110,V49
merged,111,V54
merged,112,V288
merged,113,V61
merged,114,V201
merged,115,V258
merged,116,V257
merged,117,V200
merged,118,V187
merged,119,V199
merged,120,V246
merged,121,V243
merged,122,V189
merged,123,V186
merged,124,V188
merged,125,V190
merged,126,V242
merged,127,V171
merged,128,V244
merged,129,V259
merged,130,V178
merged,131,V233
merged,132,V219
merged,133,V245
merged,134,V179
merged,135,V274
merged,136,V232
merged,137,V218
merged,138,V168
merged,139,V229
merged,140,D8
merged,141,V177
merged,142,V265
merged,143,V230
merged,144,V193
merged,145,V231
merged,146,V167
merged,147,V222
merged,148,V170
merged,149,V217
merged,150,V221
merged,151,V192
merged,152,V194
merged,153,V261
merged,154,V228
merged,155,V263
merged,156,V176
merged,157,V198
merged,158,V247
merged,159,V252
merged,160,V248
