method,feature_scope,rank,feature,score
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",1,V45,0.23161543293453185
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",2,V86,0.22632883325487974
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",3,V87,0.21791869184456972
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",4,V44,0.21451444522694707
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",5,V52,0.19555895505290227
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",6,V51,0.1804874384602501
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",7,V40,0.17227099179731975
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",8,V79,0.1674019068817584
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",9,V39,0.16424416712229356
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",10,id_35,0.16166706986775684
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",11,V33,0.16068869478420042
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",12,D7,0.16062173588055212
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",13,ProductCD,0.1602117156343655
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",14,V94,0.159855203580841
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",15,V34,0.15895602674906964
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",16,V43,0.1584454565541288
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",17,V18,0.1583180796969141
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",18,V15,0.15812846888835544
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",19,V92,0.15792407127663852
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",20,V93,0.157723389271127
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",21,V17,0.15751002771567155
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",22,V38,0.1568782844950604
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",23,addr1_isna,0.15643963582523931
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",24,addr2_isna,0.15643963582523931
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",25,V16,0.15543420487098686
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",26,D12,0.15413610376193704
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",27,card3,0.15378026423963895
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",28,V74,0.15285442392099016
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",29,V42,0.1521688509927272
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",30,V81,0.15116827450582626
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",31,R_emaildomain,0.1477238918627673
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",32,V80,0.14752897660239034
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",33,V50,0.1471084793596566
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",34,id_10,0.14520092574953566
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",35,id_09,0.14519397410601964
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",36,id_29,0.14517341063570233
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",37,D9,0.14516480161432366
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",38,D14,0.14502921801836788
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",39,V31,0.1449362442315368
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",40,V73,0.144107037024976
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",41,V57,0.1440175611128062
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",42,V21,0.14395281087669867
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",43,V32,0.14338582204908593
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",44,id_28,0.14284128652492553
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",45,V84,0.14240304962384573
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",46,V77,0.14235936710361427
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",47,V85,0.14204579729510564
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",48,V58,0.14180080584457685
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",49,D6,0.14023745186015626
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",50,V37,0.1387040031660384
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",51,M4,0.13811258941405816
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",52,V22,0.13769630356510304
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",53,id_13,0.1375454405565558
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",54,id_20,0.1374703850162314
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",55,id_36,0.1374295326959339
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",56,id_17,0.13599945098780622
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",57,id_03,0.1358234434128213
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",58,id_16,0.13580817929249467
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",59,id_04,0.13578874993430395
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",60,DeviceType,0.13504696466627786
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",61,id_38,0.1348558669235084
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",62,id_37,0.1348558669235084
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",63,id_11,0.1348505581806847
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",64,id_31,0.13433600953440122
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",65,id_05,0.1339265994712656
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",66,id_12,0.13350995910845068
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",67,D13,0.13345061724657292
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",68,id_06,0.13343422000088992
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",69,id_15,0.13339482363398916
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",70,V171,0.1327005531306461
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",71,V71,0.132657217408354
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",72,V201,0.13265555723228362
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",73,V199,0.13261849089209587
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",74,V170,0.13261744855232624
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",75,V200,0.1325969262636116
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",76,V176,0.13257306624255
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",77,V190,0.13256647587315004
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",78,V189,0.1324887279263415
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",79,V187,0.13247927460799325
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",80,V186,0.13245831991868273
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",81,V188,0.13245451785822476
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",82,V208,0.13244228856716433
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",83,V198,0.13235878860101616
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",84,V185,0.13235793735850315
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",85,V196,0.13235533912821926
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",86,V184,0.1323538952050567
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",87,V169,0.13235252751913426
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",88,V192,0.13235197549229913
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",89,V191,0.13234851840681391
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",90,V193,0.13234785183595263
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",91,V181,0.13234632274927577
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",92,V197,0.13234625183251322
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",93,V195,0.13234483980291334
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",94,V194,0.132336983505038
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",95,V173,0.13232148708743363
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",96,V172,0.1323167872906416
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",97,V174,0.13231424208073228
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",98,V183,0.13231392417566906
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",99,V175,0.13231284731194015
Pearson |r| with Target,"numeric + one-hot categorical, max |r| per original feature",100,V182,0.13226571045770014
ANOVA F-Statistic,numeric only,1,V45,3401.0890686804523
ANOVA F-Statistic,numeric only,2,V86,3239.315071031056
ANOVA F-Statistic,numeric only,3,V87,2991.2694665387307
ANOVA F-Statistic,numeric only,4,V44,2894.06960077627
ANOVA F-Statistic,numeric only,5,V52,2385.7612004852313
ANOVA F-Statistic,numeric only,6,V51,2020.290172867157
ANOVA F-Statistic,numeric only,7,V40,1835.0372638079332
ANOVA F-Statistic,numeric only,8,V79,1729.8233888986604
ANOVA F-Statistic,numeric only,9,V39,1663.3865940662665
ANOVA F-Statistic,numeric only,10,V33,1590.2616748874839
ANOVA F-Statistic,numeric only,11,D7,1588.9015377898816
ANOVA F-Statistic,numeric only,12,V94,1573.3756057043522
ANOVA F-Statistic,numeric only,13,V34,1555.2675461209185
ANOVA F-Statistic,numeric only,14,V43,1545.0356136892979
ANOVA F-Statistic,numeric only,15,V18,1542.4886145839635
ANOVA F-Statistic,numeric only,16,V15,1538.7013832610107
ANOVA F-Statistic,numeric only,17,V92,1534.6244089072732
ANOVA F-Statistic,numeric only,18,V93,1530.627202062886
ANOVA F-Statistic,numeric only,19,V17,1526.3835854460863
ANOVA F-Statistic,numeric only,20,V38,1513.855742241421
ANOVA F-Statistic,numeric only,21,addr1_isna,1505.1896811271276
ANOVA F-Statistic,numeric only,22,addr2_isna,1505.1896811271276
ANOVA F-Statistic,numeric only,23,V16,1485.4268057723318
ANOVA F-Statistic,numeric only,24,D12,1460.1181912635584
ANOVA F-Statistic,numeric only,25,card3,1453.2211954796542
ANOVA F-Statistic,numeric only,26,V74,1435.35815539502
ANOVA F-Statistic,numeric only,27,V42,1422.2069549445732
ANOVA F-Statistic,numeric only,28,V81,1403.1292239819415
ANOVA F-Statistic,numeric only,29,V80,1334.898197513767
ANOVA F-Statistic,numeric only,30,V50,1327.1313226381874
ANOVA F-Statistic,numeric only,31,id_10,1292.200220013331
ANOVA F-Statistic,numeric only,32,id_09,1292.0738276343034
ANOVA F-Statistic,numeric only,33,D9,1291.5434951388804
ANOVA F-Statistic,numeric only,34,D14,1289.0802130398013
ANOVA F-Statistic,numeric only,35,V31,1287.3925104289492
ANOVA F-Statistic,numeric only,36,V73,1272.3923188414956
ANOVA F-Statistic,numeric only,37,V57,1270.779299456475
ANOVA F-Statistic,numeric only,38,V21,1269.612697833998
ANOVA F-Statistic,numeric only,39,V32,1259.4215894611307
ANOVA F-Statistic,numeric only,40,V84,1241.8603806333062
ANOVA F-Statistic,numeric only,41,V77,1241.0828518898575
ANOVA F-Statistic,numeric only,42,V85,1235.509034053076
ANOVA F-Statistic,numeric only,43,V58,1231.1634782576214
ANOVA F-Statistic,numeric only,44,D6,1203.6243715108765
ANOVA F-Statistic,numeric only,45,V37,1176.9323181196412
ANOVA F-Statistic,numeric only,46,V22,1159.5640501966711
ANOVA F-Statistic,numeric only,47,id_13,1156.9755853712702
ANOVA F-Statistic,numeric only,48,id_20,1155.6889421838575
ANOVA F-Statistic,numeric only,49,id_17,1130.6259369296827
ANOVA F-Statistic,numeric only,50,id_03,1127.6464003832898
ANOVA F-Statistic,numeric only,51,id_04,1127.0595828311723
ANOVA F-Statistic,numeric only,52,id_11,1111.2517631319492
ANOVA F-Statistic,numeric only,53,id_05,1095.798783109116
ANOVA F-Statistic,numeric only,54,D13,1087.8825906855116
ANOVA F-Statistic,numeric only,55,id_06,1087.6104222218096
ANOVA F-Statistic,numeric only,56,V171,1075.4693996213734
ANOVA F-Statistic,numeric only,57,V71,1074.7545064064195
ANOVA F-Statistic,numeric only,58,V201,1074.7271240790042
ANOVA F-Statistic,numeric only,59,V199,1074.1158612624015
ANOVA F-Statistic,numeric only,60,V170,1074.0986746328463
ANOVA F-Statistic,numeric only,61,V200,1073.760322154895
ANOVA F-Statistic,numeric only,62,V176,1073.36701078169
ANOVA F-Statistic,numeric only,63,V190,1073.2583877308448
ANOVA F-Statistic,numeric only,64,V189,1071.977375966306
ANOVA F-Statistic,numeric only,65,V187,1071.8216735499113
ANOVA F-Statistic,numeric only,66,V186,1071.4765783720404
ANOVA F-Statistic,numeric only,67,V188,1071.41396988627
ANOVA F-Statistic,numeric only,68,V208,1071.2126033484615
ANOVA F-Statistic,numeric only,69,V198,1069.8382318504093
ANOVA F-Statistic,numeric only,70,V185,1069.824225567035
ANOVA F-Statistic,numeric only,71,V196,1069.7814750689229
ANOVA F-Statistic,numeric only,72,V184,1069.7577175809108
ANOVA F-Statistic,numeric only,73,V169,1069.7352147130387
ANOVA F-Statistic,numeric only,74,V192,1069.7261321523686
ANOVA F-Statistic,numeric only,75,V191,1069.669253252172
ANOVA F-Statistic,numeric only,76,V193,1069.658286446456
ANOVA F-Statistic,numeric only,77,V181,1069.6331292600053
ANOVA F-Statistic,numeric only,78,V197,1069.631962514675
ANOVA F-Statistic,numeric only,79,V195,1069.6087314911047
ANOVA F-Statistic,numeric only,80,V194,1069.4794827876733
ANOVA F-Statistic,numeric only,81,V173,1069.2245659550642
ANOVA F-Statistic,numeric only,82,V172,1069.1472603866905
ANOVA F-Statistic,numeric only,83,V174,1069.1053962089757
ANOVA F-Statistic,numeric only,84,V183,1069.1001672965383
ANOVA F-Statistic,numeric only,85,V175,1069.0824551081419
ANOVA F-Statistic,numeric only,86,V182,1068.3073023487873
ANOVA F-Statistic,numeric only,87,V123,1068.293918596954
ANOVA F-Statistic,numeric only,88,V180,1067.9417325630384
ANOVA F-Statistic,numeric only,89,id_01,1067.560047863831
ANOVA F-Statistic,numeric only,90,V167,1060.7793382249092
ANOVA F-Statistic,numeric only,91,V177,1060.68019739712
ANOVA F-Statistic,numeric only,92,V210,1058.3819094045684
ANOVA F-Statistic,numeric only,93,V179,1056.3728742622097
ANOVA F-Statistic,numeric only,94,V168,1055.0461724831434
ANOVA F-Statistic,numeric only,95,V214,1051.3349370630215
ANOVA F-Statistic,numeric only,96,V178,1049.3511775373418
ANOVA F-Statistic,numeric only,97,V23,1047.2913086491715
ANOVA F-Statistic,numeric only,98,V72,1045.9347313255212
ANOVA F-Statistic,numeric only,99,V47,1045.0965187447416
