feature,family,logical_type,dtype,missing_pct,n_unique,mean,min,max,sample_values
TransactionID,Identifier,Identifier,int64,0.0,590540,,,,(ID/target — no value sample)
isFraud,Target,Target,int64,0.0,2,,,,(ID/target — no value sample)
TransactionDT,Transaction,Numerical,int64,0.0,573349,7372311.3101,86400.0,15811131.0,
TransactionAmt,Transaction,Numerical,float64,0.0,20902,135.0272,0.251,31937.391,
ProductCD,Product,Categorical,object,0.0,5,,,,"W (439,670); C (68,519); R (37,699); H (33,024); S (11,628)"
card1,Card,Numerical,int64,0.0,13553,9898.7347,1000.0,18396.0,
card2,Card,Numerical,float64,1.51,500,362.5555,100.0,600.0,
card3,Card,Numerical,float64,0.27,114,153.1949,100.0,231.0,
card4,Card,Categorical,object,0.27,4,,,,"visa (384,767); mastercard (189,217); american express (8,328); discover (6,651)"
card5,Card,Numerical,float64,0.72,119,199.2789,100.0,237.0,
card6,Card,Categorical,object,0.27,4,,,,"debit (439,938); credit (148,986); debit or credit (30); charge card (15)"
addr1,Address,Numerical,float64,11.13,332,290.7338,100.0,540.0,
addr2,Address,Numerical,float64,11.13,74,86.8006,10.0,102.0,
dist1,Distance,Numerical,float64,59.65,2651,118.5022,0.0,10286.0,
dist2,Distance,Numerical,float64,93.63,1751,231.8554,0.0,11623.0,
P_emaildomain,Email,Categorical,object,15.99,59,,,,"gmail.com (228,355); yahoo.com (100,934); hotmail.com (45,250); anonymous.com (36,998); aol.com (28,289); comcast.net (7,888); icloud.com (6,267); outlook.com (5,096); msn.com (4,092); att.net (4,033); live.com (3,041); sbcglobal.net (2,970); ... (+47 more)"
R_emaildomain,Email,Categorical,object,76.75,60,,,,"gmail.com (57,147); hotmail.com (27,509); anonymous.com (20,529); yahoo.com (11,842); aol.com (3,701); outlook.com (2,507); comcast.net (1,812); yahoo.com.mx (1,508); icloud.com (1,398); msn.com (852); live.com (762); live.com.mx (754); ... (+48 more)"
C1,Count Features,Numerical,float64,0.0,1657,14.0925,0.0,4685.0,
C2,Count Features,Numerical,float64,0.0,1216,15.2697,0.0,5691.0,
C3,Count Features,Numerical,float64,0.0,27,0.0056,0.0,26.0,
C4,Count Features,Numerical,float64,0.0,1260,4.0922,0.0,2253.0,
C5,Count Features,Numerical,float64,0.0,319,5.5715,0.0,349.0,
C6,Count Features,Numerical,float64,0.0,1328,9.0711,0.0,2253.0,
C7,Count Features,Numerical,float64,0.0,1103,2.8485,0.0,2255.0,
C8,Count Features,Numerical,float64,0.0,1253,5.1446,0.0,3331.0,
C9,Count Features,Numerical,float64,0.0,205,4.4802,0.0,210.0,
C10,Count Features,Numerical,float64,0.0,1231,5.2403,0.0,3257.0,
C11,Count Features,Numerical,float64,0.0,1476,10.2415,0.0,3188.0,
