term,pval,adj_pval,n_genes,genes
cytokine-mediated signaling pathway (GO:0019221),2.979911799238949e-30,6.469388516147758e-27,59,IFITM3;IFITM1;IL1RN;CXCL9;IFITM2;CSF3R;CXCL8;CCL4L1;CXCL1;CXCL2;CXCL5;ICAM1
extracellular matrix organization (GO:0030198),3.2892178126070605e-27,2.98429358176867e-24,41,COL15A1;SPARC;LAMA4;COL12A1;SERPINE1;TNC;LAMC1;NID1;ICAM1;LOXL2;ADAMTS1;CTSK
extracellular structure organization (GO:0043062),4.647127689368402e-27,2.98429358176867e-24,36,COL15A1;SPARC;LAMA4;SERPINE1;TNC;LAMC1;NID1;ICAM1;ADAMTS1;KDR;SPP1;ITGAX
external encapsulating structure organization (GO:0045229),5.49846813775895e-27,2.98429358176867e-24,36,COL15A1;SPARC;LAMA4;SERPINE1;TNC;LAMC1;NID1;ICAM1;ADAMTS1;KDR;SPP1;ITGAX
cellular response to cytokine stimulus (GO:0071345),1.6539574997375471e-25,7.18148346386043e-23,48,IL1RN;IFITM2;CSF3R;CXCL8;CCL4L1;FPR1;CXCL1;PTGS2;HIF1A;CXCL2;ICAM1;SOCS3
inflammatory response (GO:0006954),1.3782155464386754e-20,4.986843252197274e-18,31,SERPINA3;IL1RN;CXCL9;CXCL8;TNFAIP6;CCL4L1;FPR1;CXCL1;FPR2;CXCL2;CXCL5;CXCR2
granulocyte chemotaxis (GO:0071621),1.1585913093717244e-18,3.593288189494305e-16,19,CXCL9;CXCL8;ANXA1;FCER1G;CCL4L1;CCL20;CXCL1;CXCL2;CXCL5;ADGRE2;CXCL10;CXCL11
neutrophil migration (GO:1990266),7.792835189386623e-17,2.114780649519795e-14,18,CXCL9;CXCL8;FCER1G;CCL4L1;CCL20;CXCL1;CXCL2;CXCL5;CXCL10;CXCL11;CXCR1;CXCR2
neutrophil chemotaxis (GO:0030593),2.8461672135042803e-16,6.499964799977658e-14,17,CXCL9;CXCL8;FCER1G;CCL4L1;CCL20;CXCL1;CXCL2;CXCL5;CXCL10;CXCL11;CXCR1;CXCR2
response to lipopolysaccharide (GO:0032496),2.99399576231122e-16,6.499964799977658e-14,23,CD274;CXCL9;CXCL8;NOS2;SERPINE1;WNT5A;LY96;CXCL1;IRAK3;SELE;CXCL2;CXCL5
