term,pval,adj_pval,n_genes,genes
Bile secretion,5.307019368121168e-12,8.597371376356293e-10,13,ABCC2;ABCB1;AQP8;SLC10A2;NR1H4;SLC51A;SLC51B;CYP3A4;SLC9A3;UGT2A3;UGT1A3;SULT2A1
Drug metabolism,5.688670111705239e-11,4.6078227904812435e-09,13,MAOB;ADH1C;MAOA;FMO1;CYP3A4;FMO4;FMO5;ADH6;CYP2B6;GSTA2;GSTA1;UGT2A3
Mineral absorption,3.7095181852829653e-10,2.0031398200528013e-08,10,SLC9A3;SLC6A19;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;TRPM6;SLC26A3
Metabolism of xenobiotics by cytochrome P450,4.091729267868927e-09,1.6571503534869154e-07,10,CYP2B6;ADH1C;CYP2S1;GSTA2;GSTA1;UGT2A3;UGT1A3;CYP3A4;SULT2A1;ADH6
Protein digestion and absorption,8.015211234782982e-08,2.5969284400696857e-06,10,DPP4;SLC36A1;SLC9A3;SLC6A19;MEP1B;MEP1A;SLC7A9;XPNPEP2;SLC1A1;SLC3A1
Vitamin digestion and absorption,1.0430971767842414e-07,2.8163623773174515e-06,6,CUBN;SLC23A1;SLC52A3;SLC19A3;APOA1;PLB1
Steroid hormone biosynthesis,2.4054596431637814e-06,5.566920888464751e-05,7,DHRS11;HSD3B2;HSD17B2;HSD3B1;UGT2A3;UGT1A3;CYP3A4
Retinol metabolism,5.04030533440289e-06,0.00010206618302165853,7,CYP2B6;ADH1C;CYP2S1;UGT2A3;UGT1A3;CYP3A4;ADH6
Chemical carcinogenesis,2.8807272237096405e-05,0.0005134295504711788,11,CYP2B6;CREB3L3;PAQR5;GSTA2;EPHX2;GSTA1;UGT2A3;UGT1A3;CYP3A4;SULT2A1;SULT1A2
Arachidonic acid metabolism,3.1693182127850544e-05,0.0005134295504711788,6,CYP2J2;PLA2G12B;CYP2B6;CYP4F2;EPHX2;PLB1
