term,pval,adj_pval,n_genes,genes
Amoebiasis,9.828734332521573e-16,2.1033491471596166e-13,19,SERPINB3;SERPINB4;CXCL8;NOS2;IL1R1;LAMA4;FN1;PIK3R3;CXCL1;SERPINB9;LAMC1;CXCL2
Rheumatoid arthritis,2.7919695847369373e-15,2.2181650516093636e-13,18,CXCL8;FLT1;MMP1;CCL20;MMP3;CXCL1;FOS;CXCL2;CXCL5;ICAM1;IL1A;IL6
IL-17 signaling pathway,3.406560535349034e-15,2.2181650516093636e-13,18,CXCL8;MMP1;CCL20;MMP3;CXCL1;FOS;PTGS2;MUC5B;CXCL2;MMP9;CXCL5;CXCL10
Staphylococcus aureus infection,4.146102900204418e-15,2.2181650516093636e-13,18,C1S;CFH;C1R;CFI;FPR1;FPR2;ICAM1;C2;C3;SELP;FCGR3A;FCGR3B
Pertussis,2.4775856111359327e-14,1.0604066415661792e-12,16,CXCL8;C1S;NOS2;C1R;LY96;C4BPA;C4BPB;FOS;CXCL5;C2;C3;IL1A
Complement and coagulation cascades,1.5926284263967216e-13,4.883527385098171e-12,16,VWF;C1S;CFH;C1R;SERPINE1;CFI;C4BPA;C4BPB;C2;C3;PLAU;ITGAX
AGE-RAGE signaling pathway in diabetic complications,1.597415499798467e-13,4.883527385098171e-12,17,EGR1;CXCL8;STAT1;MMP2;SERPINE1;FN1;PIK3R3;SELE;ICAM1;COL1A1;IL1A;IL6
Leishmaniasis,5.453837696870335e-13,1.4589015839128146e-11,15,NOS2;NCF2;STAT1;FOS;PTGS2;C3;IL1A;FCGR3A;FCGR3B;FCGR2A;IL1B;HLA-DPB1
TNF signaling pathway,1.096383861603399e-12,2.6069571820347488e-11,17,CCL20;MMP3;PIK3R3;CXCL1;FOS;PTGS2;SELE;CXCL2;MMP9;CXCL5;ICAM1;SOCS3
Cytokine-cytokine receptor interaction,2.5181102768584744e-11,5.388755992477135e-10,24,IL33;IL1RN;CXCL9;CSF3R;CXCL8;IL1R1;CCL20;CCL4L1;CXCL1;INHBA;OSMR;CXCL2
