gene,mean_case,mean_control,fold_change,log2FC,t_stat,pvalue,qvalue,direction,fc_threshold
TSLP,3.7475019,7.8894243,0.4750032,-1.0739908,-48.04107666015625,1.6415845051138954e-149,9.107510834371892e-145,downregulated,1.974197173118589
MATN2,10.115673,13.431903,0.75310796,-0.4090714,-44.988590240478516,1.8893106942810768e-146,5.2409478659357064e-142,non-significant,1.974197173118589
NTRK2,10.437414,14.451053,0.72225976,-0.4694103,-43.59400939941406,4.0869755110945e-140,7.558180045184095e-136,non-significant,1.974197173118589
SCN4B,8.391997,11.440868,0.7335105,-0.44711047,-44.463626861572266,6.792013009376247e-135,9.420522044004854e-131,non-significant,1.974197173118589
RERGL,4.577443,9.082836,0.5039663,-0.9886009,-40.79368591308594,4.694831815461779e-132,5.20938538243639e-128,downregulated,1.974197173118589
SPRY2,9.052477,11.856908,0.763477,-0.38934335,-47.41958236694336,6.539510997919449e-132,6.046867836076184e-128,non-significant,1.974197173118589
EGFR,10.426445,13.47389,0.7738259,-0.3699191,-37.82273864746094,6.444795007092711e-127,5.10796038562148e-123,non-significant,1.974197173118589
ECRG4,5.6851397,10.652963,0.53366745,-0.9059871,-41.33892059326172,4.311891296678101e-126,2.990296614246263e-122,non-significant,1.974197173118589
MME,9.630437,13.7497635,0.70040745,-0.5137337,-44.723548889160156,4.319800146334418e-125,2.66291680131815e-121,non-significant,1.974197173118589
IL33,8.277038,12.02993,0.68803704,-0.5394418,-38.0123405456543,8.943956567740301e-125,4.96210710378232e-121,non-significant,1.974197173118589
MMP11,13.829967,8.009985,1.7265909,0.78792626,54.41078186035156,1.3501889491052167e-124,6.809862081487038e-121,non-significant,1.974197173118589
RGN,5.6690855,8.714684,0.6505211,-0.62033224,-37.24042892456055,1.7312232909916457e-124,8.00402234868471e-121,non-significant,1.974197173118589
METTL11B,3.5533454,0.34648168,10.255507,3.358327,36.59930419921875,5.6028968946835414e-123,2.3911439978234068e-119,upregulated,1.974197173118589
CD300LG,5.285069,11.773057,0.4489122,-1.1554948,-46.401268005371094,4.312358085702469e-122,1.7089259042483784e-118,downregulated,1.974197173118589
TMEM220-AS1,3.6151717,5.8764954,0.61519176,-0.700892,-38.42302703857422,3.12901846037719e-121,1.1573196278781767e-117,non-significant,1.974197173118589
MAMDC2,7.3068986,10.999965,0.66426563,-0.5901678,-42.66958236694336,7.287249983632511e-119,2.526853931824573e-115,non-significant,1.974197173118589
TINAGL1,10.346886,12.493837,0.82815915,-0.27202004,-34.343318939208984,1.099100171284816e-116,3.586945735463623e-113,non-significant,1.974197173118589
VEGFD,4.6994195,10.636167,0.44183394,-1.1784239,-50.388065338134766,3.972749555974131e-115,1.2244896964746932e-111,downregulated,1.974197173118589
FMO2,8.828246,13.047168,0.6766408,-0.5635379,-40.19630813598633,1.151478186056899e-114,3.362316303286145e-111,non-significant,1.974197173118589
HOXA7,4.440018,7.4792247,0.5936468,-0.7523232,-37.44322204589844,5.916152052825081e-113,1.6411405794536776e-109,non-significant,1.974197173118589
IBSP,6.043145,0.8043558,7.513025,2.9093938,42.34702682495117,1.3805735420204705e-112,3.6473438148236047e-109,upregulated,1.974197173118589
ANKRD29,7.412321,10.335017,0.7172045,-0.47954354,-38.02566909790039,4.4124141526968836e-111,1.1127306235982869e-107,non-significant,1.974197173118589
SLC6A2,2.6156576,6.4079547,0.40818915,-1.2926903,-34.59084701538086,1.4287400067986515e-110,3.4463693729212686e-107,downregulated,1.974197173118589
ITM2A,9.653398,12.442483,0.7758417,-0.36616573,-37.60551834106445,1.6169638392937646e-109,3.7378814085007524e-106,non-significant,1.974197173118589
CAVIN2,7.9721355,12.580171,0.63370645,-0.65811336,-45.419498443603516,3.8293409103875897e-109,8.49807334833214e-106,non-significant,1.974197173118589
LINC01705,4.4995446,0.5854578,7.685515,2.942142,39.232208251953125,4.193905685446377e-109,8.949149516483268e-106,upregulated,1.974197173118589
TGFBR3,10.656467,13.893418,0.7670155,-0.38267234,-36.71075439453125,1.6278416871997755e-107,3.3449132150312424e-104,non-significant,1.974197173118589
AC012462.1,1.596044,0.13259058,12.037385,3.5894501,29.379867553710938,2.6768112146825718e-107,5.303910221092467e-104,upregulated,1.974197173118589
CST4,4.3339324,0.49452442,8.763839,3.131563,29.68541145324707,3.0182270583878444e-106,5.774180593081297e-103,upregulated,1.974197173118589
TMEM220,7.0516553,9.589333,0.73536456,-0.44346845,-42.25088882446289,3.6295282557722326e-106,6.712207587674782e-103,non-significant,1.974197173118589
GNG13,3.6116202,0.4119005,8.768187,3.1322784,31.798555374145508,3.2104903038759155e-105,5.745742001904381e-102,upregulated,1.974197173118589
PPP1R14A,6.847446,9.885619,0.69266737,-0.52976537,-38.427757263183594,4.060678825873224e-105,7.040201914357702e-102,non-significant,1.974197173118589
DMD,9.116644,12.7275,0.71629494,-0.48137435,-41.632633209228516,7.035203534175154e-105,1.1827669456849623e-101,non-significant,1.974197173118589
COL10A1,12.179394,5.299692,2.2981324,1.2004619,48.41678237915039,1.782456231714353e-103,2.908549168691538e-100,upregulated,1.974197173118589
CNTNAP3,4.87526,8.319887,0.58597666,-0.7710849,-34.65519714355469,3.5702872910722617e-103,5.659415397391117e-100,non-significant,1.974197173118589
FAXDC2,9.751869,12.395943,0.78669846,-0.34611732,-34.677894592285156,8.216264289144462e-103,1.2662176187825965e-99,non-significant,1.974197173118589
