gene,log2FC,AveExpr,t_mod,pval,FDR,direction,DEG
A1CF,-0.47493926172323137,7.78396589890822e-17,-5.161718331605015,6.507631531068609e-07,4.623224708348333e-06,down,False
A2M,-0.25847123476503175,-2.530564212553429e-16,-1.2819352651284437,0.2015362454804648,0.2780903643070002,down,False
AAAS,0.04490630530459774,1.116425387891219e-16,0.5163892302697337,0.6062249361853,0.6823458772998793,up,False
AACS,-0.2974862689749873,-2.279368500277905e-16,-2.549205781963101,0.011642609770432178,0.024488449915689905,down,False
AADAC,-0.2095708429073824,3.22522889835241e-16,-0.9804363335714845,0.3282044282801455,0.4163950655805239,down,False
AAGAB,0.3775002139943199,2.4809453064249307e-16,3.4356398132739683,0.0007360288770069266,0.0022670358867082976,up,False
AAK1,-0.17476259320220344,1.1412348409554682e-16,-0.9097153586713337,0.3642055450383722,0.4541300807571643,down,False
AAMDC,-0.283897923738094,1.6653345369377348e-16,-2.342958515238206,0.020238914578426657,0.039263623110375456,down,False
AAMP,-0.3444005758383971,3.1383958126275373e-16,-2.6789322063675245,0.00807954219173789,0.017964198223504764,down,False
AANAT,-0.2710933801125027,7.404071148861903e-17,-3.3820945435145027,0.0008848159212497958,0.0026561908140744304,down,False
AAR2,-0.03549090062923661,5.09214024143717e-16,-0.46089484368040945,0.6454379315146952,0.7167604351078485,down,False
AARS,0.6823772375470183,3.870274678022892e-16,7.187916573160841,1.7560572352841664e-11,3.387356606859062e-10,up,False
AASDHPPT,-0.054414042772904445,6.698552327347314e-16,-0.38084504887669746,0.7037733787890044,0.7665354166941899,down,False
AASS,-0.6440614737589743,9.923781225699723e-17,-2.9863613135923734,0.0032219796478405393,0.008167842355338743,down,False
AATF,0.33376108181935804,-7.616502090724537e-16,3.157988516412245,0.0018671115972337946,0.0050819284398029,up,False
AATK,-0.28488250487588096,8.187119511202272e-17,-2.8021588507745925,0.005639753409196083,0.013173832882067341,down,False
ABAT,-0.2883165725976494,-1.6374239022404543e-16,-1.4081968092919182,0.16082084943579486,0.23010040602058085,down,False
ABCA1,0.29429011490005896,-2.009565698204194e-16,2.403735580592226,0.017257387765615563,0.03434854110214193,up,False
ABCA11P,-0.20621241915384914,-1.4885671838549585e-17,-1.9645561062101515,0.05102570737839404,0.08693981812019591,down,False
ABCA12,-0.9039293811677129,-6.065911274208955e-16,-3.576952004631415,0.00044808294516780674,0.0014684352646614869,down,False
ABCA2,-0.038398781659613496,2.31968386150731e-16,-0.4358258363230776,0.6634923445741531,0.7325998707276062,down,False
ABCA4,-0.004631598715402146,-8.807355837808505e-17,-0.040144377572835725,0.9680231132331669,0.9766724534542957,down,False
ABCA5,-0.393944457549832,-2.977134367709917e-17,-2.6995644026888033,0.007613996055398852,0.017059773187165485,down,False
ABCA6,-0.747153938871552,-7.939024980559779e-17,-5.960814120707642,1.3210419015611079e-08,1.3883467087871953e-07,down,False
ABCA7,0.13723925343406954,-6.946646857989806e-17,0.7365798375403505,0.4623497241220701,0.5495812682110137,up,False
