gene,log2FC,FDR,direction,n_methods
SMC4,1.9213377891270873,2.3704026788700157e-28,up,4
THSD4,-2.6902883276498684,2.918887225255682e-23,down,4
CDKN2A,3.5718955939367625,8.39340231693148e-45,up,4
UBE2C,1.7436222703815458,3.71645601539923e-26,up,4
TACC3,1.74400870799131,3.1256699074854745e-23,up,4
TYMS,2.052547850605603,9.988905010947832e-29,up,3
TIMELESS,1.7835949293804352,3.130895262929671e-29,up,3
RAD54L,2.2074908131113062,6.034675553387447e-28,up,3
MCM4,1.6411320433334828,3.7529274681999704e-25,up,3
FANCI,1.803564159125591,2.029352791745997e-28,up,3
PIGR,-2.075164278547197,1.6923857388293749e-06,down,3
TBX3,-2.1246366787758766,1.9217074370315927e-18,down,3
TUBB2A,-1.9422913666891808,2.5578510088173038e-18,down,3
PHYHIP,-2.278306265589108,1.4547883118805283e-23,down,2
MELK,2.3539091274459665,1.543483118327604e-30,up,2
BBOX1,-3.61079024860605,3.401071497934266e-24,down,2
PRC1,2.080433548344426,1.441826976773365e-26,up,2
CRNN,-7.043786160958636,1.3337104313001891e-30,down,2
STIL,1.7936388920551996,4.962555918990289e-22,up,2
AURKA,2.302763693958071,1.0320066353725307e-30,up,2
CDC25B,1.8196235280673565,1.0576656376517986e-21,up,2
CA9,2.4589648741176777,1.172267282431882e-18,up,2
KNTC1,2.4066142082874498,3.741771025130111e-35,up,2
SULF1,1.7187056119655477,1.0151026583530115e-07,up,2
CELSR3,1.9963721027303112,4.451965851607004e-22,up,2
PPP1R3C,-4.116415465914136,1.3744791053131811e-22,down,2
SLC15A3,1.7077087851991655,8.636957504614619e-16,up,2
KIFC1,1.7751056894206338,4.1548061649806e-21,up,2
AIM2,2.849776794728159,5.407271044737213e-18,up,2
MUC5B,-1.9374925638031568,8.742568616009348e-08,down,2
LHX2,1.9454308946582377,5.658760934194585e-11,up,2
SPINK2,-1.82043945197975,4.201641391492147e-18,down,2
CYP3A5,-2.1226359360282645,7.039102223966004e-14,down,2
TFF3,-2.0511294581623787,1.229554981333456e-05,down,2
MASP1,-1.5950145712002282,1.5549044167613277e-10,down,2
LGALSL,-2.012946003274135,9.422193105586466e-15,down,2
CRISP2,-2.480761830194069,4.217329598368279e-18,down,2
ZSCAN18,-2.0014156145186495,7.029394251199993e-19,down,2
ZNF415,-1.7472763202619177,2.1476739992257915e-15,down,2
INHBA,3.0640064039106254,6.8034738915788305e-18,up,2
CXCR2,-2.133835128835689,5.326282249308963e-19,down,2
CXCL8,3.560013835359785,1.5565519121251886e-18,up,2
DPP4,-1.82449940397334,1.233105726069497e-17,down,2
LPAR6,-1.5928976922859883,9.934455558095628e-14,down,2
DUSP1,-1.5484209099439687,7.199063733456155e-11,down,2
KCNK7,-2.180179442546423,2.1508456345374302e-20,down,2
SYCP2,3.5860592200365,1.2052147568479053e-23,up,2
