gene,log2FC,FDR,AveExpr
MEP1B,-2.8415308424471455,0.0002998035048610599,8.036336404185567
TMIGD1,-2.821645008708775,1.931111538862952e-08,8.310096830376288
ABCG2,-2.7745209469735714,2.0287513157439903e-08,7.806776371211339
CYP2B6,-2.6850033112711422,2.6956431892081557e-10,7.782005274407217
UGT2A3,-2.5900601611168046,1.280849148729562e-05,7.1248385002113395
HMGCS2,-2.5319921614873095,5.227199283012274e-08,8.942039398773197
SLC13A1,-2.5163101544624684,7.772739025180518e-05,6.100485492185567
SLC26A2,-2.3352984540919692,3.1598813343546155e-08,9.096921480195876
CYP3A4,-2.3296145230311858,0.0038455098562694312,7.067981961618557
MT1M,-2.3116768261797063,1.950883526282086e-13,8.721656361025774
PRKG2,-2.2524570355274847,6.392515447131811e-07,6.255635515360825
GUCA2A,-2.230259801752112,1.5876013400562174e-07,10.441224294149485
PCK1,-2.220152227290166,4.402361681343017e-06,8.752418525690722
AQP8,-2.1404992344154357,1.601429215161069e-05,7.167633105304123
ABCB1,-2.1104216521945016,1.3972527143571472e-07,8.416113012685567
MS4A10,-2.0744023557970417,0.003649806222376901,7.5198147181958745
CDHR1,-2.0729663970486234,6.711243453743233e-11,7.428800459443298
SLC5A12,-2.0504663295401677,0.0022487431048569574,7.1284747202680405
CYP2B7P,-2.0399884059365743,2.983303008799989e-09,6.734505319185567
XPNPEP2,-2.0138765800565537,0.0020830731941740054,8.747867552262887
SLC10A2,-2.0080943626522227,0.00025386498242941746,7.096188002927835
CNTFR,-1.9838683674466129,3.046575288020697e-23,7.512433618417526
GUCA2B,-1.9680482865718734,1.1000946772948507e-13,9.515285392865978
OTOP2,-1.966501554614168,4.675596644863127e-10,8.189265645912371
NAALADL1,-1.9617943858816052,9.79808622227861e-06,8.246738767005155
PAQR5,-1.9604927820972522,2.846336850516547e-19,7.531858292463917
CLDN8,-1.9290407343530651,5.006334104770808e-05,5.67856956464433
SLC6A19,-1.9093239329645808,0.002640306177434471,8.706999001556701
TRPM6,-1.9032918248794894,2.986335527848455e-09,7.724497149556701
G6PC,-1.8959560052991522,0.00046997043818625594,6.361655187525773
TMEM252,-1.8833407203964034,2.9248798646890843e-07,6.034049643427835
CREB3L3,-1.876475336536469,0.0021406579167938893,8.519755702329897
BMP3,-1.8572945099978835,5.103139794142354e-10,7.595813509999999
CUBN,-1.8533752560465118,0.00030152076019333965,6.677299686381444
MT1H,-1.8123787014487274,7.790979932383154e-14,8.930321439113401
SLC17A4,-1.808761747273782,2.601527777977908e-08,7.935995653500001
B4GALNT2,-1.7914687071828768,2.7677218151347674e-11,7.308939214097938
NAT8,-1.7750547195258992,5.340639977251524e-09,6.446350411711341
PADI2,-1.7437991703789635,7.01525810673339e-07,8.866946927458763
CYP4F2,-1.7434096406400652,4.9566001546843714e-05,7.801221744494845
CPO,-1.7335802426522218,0.0020967819944765135,6.43560303571134
CHP2,-1.7246007786157485,1.2234302993265082e-06,8.613158787329896
GBA3,-1.7228855701437604,0.0034153599469661324,7.459684755170103
PHLPP2,-1.707118270081395,1.6382901369624688e-10,8.92064763857732
SLC51A,-1.6994227082299158,6.8498241919308894e-06,7.7746584362113405
ACSF2,-1.6885835302034868,3.2175030502213267e-11,8.025041410237113
SLC6A4,-1.6875639192003202,0.0029622931817893253,7.169409691886597
NAT8B,-1.6689022077690279,7.87727624841179e-06,7.183985299809278
SLC30A10,-1.6363743310861532,1.374478780175274e-07,7.840752289072165
NTS,-1.6310650157933395,0.013078728359579309,6.329633322654639
PDZK1,-1.6297510728456643,0.0007799061495096366,6.2489227462628865
PDZK1P1,-1.6297510728456643,0.0007799061495096366,6.2489227462628865
SLC51B,-1.612415393826641,7.687816081258744e-09,9.05241809035567
SLC23A1,-1.593302031107287,0.00024168545228182142,8.129924933515465
SLC23A3,-1.578362508512157,3.558661749987638e-08,7.099627653036083
HSD3B1,-1.5712058481104627,4.775877056761732e-09,6.399126979164949
MEP1A,-1.5705963902209366,4.620426271258815e-05,10.859996053773196
SLC22A5,-1.5398676273213585,2.999879252092754e-11,8.698861640283505
SLC38A4,-1.5308817473403797,1.670337862628904e-17,5.0304374031288654
TMEM236,-1.5305403156062365,2.9416208301430105e-05,8.994270650118557
DHRS11,-1.5215195976691316,2.6205352894048484e-06,10.250485339587629
MS4A8,-1.5213016441490446,0.0009371342122054796,8.496088013592784
MT1F,-1.5194601645533776,3.153192562086227e-10,11.235738821469074
GSTA1,-1.509062107769032,0.008867765042871593,7.665125001902061
CAPN13,-1.4917901720031717,8.270127543233887e-06,7.54020440322165
NR1H4,-1.483264833178647,0.0014371398166049317,6.2924850555
SCIN,-1.4803072937764261,6.633514341906509e-07,8.148811803381445
TRHDE,-1.4802852327579261,1.0040482279014366e-09,5.9125435911804125
ANPEP,-1.4750491867552906,0.0013653971840332448,11.394651394634021
TMEM56,-1.465153692233617,1.950883526282086e-13,8.328451345355669
TMEM56-RWDD3,-1.465153692233617,1.950883526282086e-13,8.328451345355669
ZG16,-1.4555301777949232,0.00024135588554785099,9.797404534278352
MT1G,-1.4495584420459835,2.995102843844421e-10,11.594459981335051
CDC14A,-1.4339196095269564,1.7841871041785724e-12,8.038192691819587
MIR215,-1.4310569995216706,0.0019994072302402842,6.092033858175258
HSD17B2,-1.4276982771125848,1.0040482279014366e-09,8.860204113128866
PLB1,-1.4060839911273781,0.001828007020745927,7.480586142881443
ENTPD5,-1.4003377844228382,5.738169402002187e-09,9.015518904943299
PBLD,-1.3985638240782254,8.950367867271163e-05,8.45979727034536
BRINP3,-1.393374316761105,0.0003728313514600213,6.339837257969073
SLC13A2,-1.3862924301331976,0.0018430880095789066,8.437508999051547
SLC3A1,-1.385177475249467,4.1188113648713595e-05,7.412285005252576
LRRC19,-1.384958491491016,7.718193507020929e-07,8.452472734664948
FMO1,-1.3843398088736816,0.0004271577372180446,5.4097998854433
TUBAL3,-1.3721879526797052,8.963963184921453e-08,7.1707654506804115
SLC19A3,-1.364644225559199,1.1551130305742184e-11,6.536160495773196
DPEP1,-1.3581104964059154,0.02704917894575662,9.185879414659793
APOA1,-1.354296737991013,0.006715260832527955,7.8975223485979384
SULT2A1,-1.348683336737845,0.0035274835864623354,5.55354744621134
FLVCR1,-1.346817285257928,2.2323946556353026e-05,8.021105166742268
SLC10A5,-1.336615504575061,1.8038217339051377e-07,7.917327988824743
FMO5,-1.3264830287938683,7.931051899546128e-07,8.601841381551548
TINAG,-1.3247176282938735,1.6222577948485293e-09,6.9355318614948445
SLC16A9,-1.3236131725528537,9.168799064500474e-05,6.4151673965412375
MGC32805,-1.318927014782239,4.798802052511705e-09,5.128330063494845
LEAP2,-1.312983668893759,0.0005379754048366916,7.095059125659795
PDK2,-1.2989930140084578,2.52160390860126e-10,8.556124145752577
SLC26A3,-1.2909288977230418,0.0014502907707456111,11.457078556896905
SLC39A5,-1.2897625210861552,3.0248982346799082e-05,9.80564203265464
NAAA,-1.2885922612959817,4.306227357334947e-13,9.241699327298969
PLA2G12B,-1.2837955071601455,0.00028896894623981173,7.147402170716495
PPARGC1A,-1.2787127597182852,2.7316321567589344e-08,7.932388074618558
ASPA,-1.2769358000607838,0.0002033010980301533,5.433665538659794
PFN2,-1.2718457225031754,2.0539603734837627e-11,7.952778311154639
FAM47E-STBD1,-1.271279013922304,1.7154163580993794e-19,6.7288498155412375
STBD1,-1.271279013922304,1.7154163580993794e-19,6.7288498155412375
