gene,log2FC,FDR,direction
SLC6A14,4.5330840542172295,1.2340890148553627e-17,up
DUOX2,4.097316943906979,3.2139700460998197e-15,up
MMP3,3.557633601662788,1.3271901420561957e-09,up
DUOXA2,3.3827279970507362,3.6348298295503877e-12,up
MMP1,3.2628469905988338,4.5863323101523636e-10,up
LCN2,3.2448375734635304,2.846336850516547e-19,up
IDO1,3.062183290360996,2.6629482840386303e-11,up
S100A8,2.9457037690280172,3.0872150429161887e-09,up
IL1B,2.9343615324746324,8.99845146109782e-11,up
SAA2,2.684159370977275,5.262320962599081e-10,up
NOS2,2.675260991845133,1.585762683084943e-13,up
CHI3L1,2.6334454173335073,4.223693740200139e-08,up
AQP9,2.5480218735274835,5.224530780245299e-08,up
TCN1,2.5018408671078207,2.0688127717306437e-08,up
MMP12,2.4683508548456645,2.470498560358127e-08,up
PTGS2,2.4349316969016916,8.117155867394328e-09,up
TNIP3,2.424858880750003,2.7476828567887194e-06,up
VSIG1,2.4177445438541225,2.9062179097825786e-07,up
REG1B,2.3668392373287537,0.0015684458345549045,up
CXCL1,2.3386481669006356,2.6629482840386303e-11,up
MMP7,2.2833757300327644,1.8528839086187971e-06,up
CXCL8,2.275013921551797,7.392574658054646e-08,up
TIMP1,2.172806574026957,5.405476388227422e-14,up
KYNU,2.166368125466702,8.447880102092754e-08,up
MUC1,2.10365867270402,1.036296504118286e-11,up
CXCL10,2.096249135208245,1.2061083183486266e-06,up
REG1A,2.0857772895977877,0.001876838101352377,up
SKAP2,2.0619848705798134,3.249531085065188e-10,up
IGHA2,2.0619848705798134,3.249531085065188e-10,up
LOC102723407,2.0619848705798134,3.249531085065188e-10,up
MXRA5,2.009625798214058,6.680036559604849e-15,up
FOLH1B,2.0092960670306574,0.0009944551490901354,up
FOLH1,2.0092960670306574,0.0009944551490901354,up
FCGR3B,2.00019492285677,1.7034508636531518e-09,up
FCGR3A,2.00019492285677,1.7034508636531518e-09,up
CXCL11,1.9701090064566582,1.4227840873277403e-08,up
IL1RN,1.9685786071390066,1.0846451394915886e-10,up
TNFAIP6,1.9505664877610975,6.899680518713917e-06,up
PI3,1.9505232891353028,1.1592257978609513e-06,up
STEAP4,1.9410531599328742,3.7441741159892775e-09,up
OSMR,1.9367097135449205,1.601992254353231e-09,up
SERPINA3,1.9018385956807649,2.7571734332472573e-08,up
SLC7A11,1.8879357883446115,8.610305810090901e-10,up
CDH3,1.8750718254127916,3.156921405145921e-08,up
CFI,1.8716971405787568,8.614486036556806e-10,up
SELE,1.851160352242073,1.3016783339854155e-06,up
IGFBP5,1.8494671761088748,7.63392208920487e-10,up
ABCA12,1.8377951748911174,7.282531233709626e-05,up
SERPINB5,1.831112741898524,5.341320768394679e-08,up
VNN1,1.8271864122907004,1.846624495170514e-05,up
SERPINB3,1.7927042286427044,0.0025461719777648546,up
CXCL9,1.7902726012859418,1.6533546730004266e-06,up
CCL2,1.7787493222204,3.82073390536231e-08,up
FCGR2A,1.7670736415903825,4.3055073928932185e-06,up
GBP4,1.758318095164376,1.4136347400760097e-09,up
ACSL4,1.7292594676183946,6.882034932013222e-09,up
GBP5,1.7239823205438691,2.9980802063873765e-07,up
TNC,1.703852621992601,2.1998723538210713e-06,up
IRAK3,1.6925987456279046,2.6618459627469674e-08,up
WARS,1.6818448261411199,2.134828612921114e-11,up
ADGRL4,1.6743251528276915,1.9736165155450655e-08,up
SOCS3,1.673348881637951,1.2095554851734726e-09,up
C2,1.671464446602008,3.3114386965099206e-14,up
CCL20,1.668759403399048,6.744398196112896e-08,up
DMBT1,1.6664759856205027,7.193193318283108e-05,up
CLDN1,1.6635258076337234,1.6749157733169124e-08,up
SELP,1.660916120975692,1.0579063767574191e-08,up
PLEK,1.6564770321934486,8.344365361047296e-06,up
PDZK1IP1,1.630708832739428,2.0663396194421435e-11,up
IL1A,1.63024170212738,3.342755807526292e-06,up
UBD,1.6262647286009528,1.9065491333873834e-09,up
CXCL2,1.613577991154865,8.152749324463941e-10,up
S100A12,1.6127701635903806,9.864981056128837e-05,up
CXCR1,1.6096708883964048,3.1273623493303844e-06,up
CD55,1.6068914189746302,7.34933799124592e-14,up
ANXA1,1.596527554295454,1.5995318870383863e-06,up
COL6A3,1.5915152057785384,1.6104325362962255e-08,up
ANKRD22,1.5901998888631068,2.598826240222404e-08,up
MUC4,1.5815691658250497,1.046290035041253e-05,up
WNT5A,1.5771110129408,1.1732463753462181e-08,up
SPP1,1.5743198768150135,6.17780012047161e-05,up
PECAM1,1.5732659055454548,1.7047054437287525e-09,up
S100P,1.5674192241997886,1.8041098761992802e-08,up
ICAM1,1.5655925096606786,6.215594385896917e-09,up
CEMIP,1.558365896912795,2.111379430052328e-05,up
IGHV3-41,1.548562186917021,6.7000696884835e-11,up
IGH,1.548562186917021,6.7000696884835e-11,up
HCAR3,1.5270494387404856,0.00017340579457134363,up
PIM2,1.5151920192568706,4.3088254886424215e-07,up
SLCO1B3,1.5094253312436585,0.0005884051549268465,up
C4BPA,1.5088527425132137,0.00023654072110522003,up
PLAU,1.5044716522055968,1.8237426150185446e-07,up
ITGA5,1.5036511157684966,2.1658606155847252e-08,up
MUC5B,1.5026862423816034,0.0018353735883695917,up
MMP10,1.4990396859873147,2.574872653556985e-06,up
RGS5,1.4945364279265325,6.271674027539171e-08,up
SERPINE1,1.4660404249519035,4.244880225580238e-06,up
REG4,1.4626707182431282,3.5342248765151616e-06,up
APOL1,1.456236087986258,3.104945357530974e-10,up
PRDM1,1.4492070946728326,1.935295685598325e-09,up
VWF,1.4385058150523253,1.7156550098659837e-10,up
IL6,1.436944772706128,0.000586150709822443,up
S100A9,1.4327370730713511,4.6192615403810325e-06,up
CSF3R,1.4312868754376327,3.1003177152950065e-06,up
SPINK4,1.4265969977542294,0.00015718610188777125,up
TREM1,1.4265854874413373,1.0411490039278904e-05,up
ADAMTS9,1.4235990061479944,1.4789543563417713e-09,up
FPR2,1.4207530483979918,1.0531358471768616e-05,up
PHLDA1,1.4161036462912326,1.510233422428528e-09,up
IL7R,1.414013788533297,7.031916563126635e-07,up
KCND3,1.413380624544927,4.271489044105757e-11,up
CTSK,1.4115487621078282,4.822882002987466e-07,up
VNN2,1.4109227438773821,6.522313882246342e-05,up
SERPINB7,1.4101651574783274,0.0012803546071874135,up
COL12A1,1.4087170691812911,1.5007025149873856e-05,up
CATSPERB,1.3997564863150105,2.083880445613229e-08,up
PI15,1.396428970508981,0.0027243528327108063,up
VCAN,1.3907618855639532,2.753179283120941e-07,up
CFB,1.3895896747748449,4.410599241023786e-08,up
CALCRL,1.3879959585058197,5.119298247941394e-07,up
GREM1,1.3873854319154333,1.975457895683947e-05,up
SLPI,1.3855378415364745,0.000618012224036001,up
DRAM1,1.3814141588123716,8.630714478452055e-10,up
DAPP1,1.377512949264803,8.043299953566896e-10,up
MMP2,1.371809633215113,2.142924626945918e-06,up
