gene,log2FC,FDR,AveExpr
SLC6A14,4.5330840542172295,1.2340890148553627e-17,9.068431419494846
DUOX2,4.097316943906979,3.2139700460998197e-15,10.774005757891752
MMP3,3.557633601662788,1.3271901420561957e-09,8.328736392407217
DUOXA2,3.3827279970507362,3.6348298295503877e-12,9.402294781670104
MMP1,3.2628469905988338,4.5863323101523636e-10,9.163508818845362
LCN2,3.2448375734635304,2.846336850516547e-19,10.803643359927834
IDO1,3.062183290360996,2.6629482840386303e-11,7.938977743726805
S100A8,2.9457037690280172,3.0872150429161887e-09,7.783015859958762
IL1B,2.9343615324746324,8.99845146109782e-11,8.399979558371134
SAA2,2.684159370977275,5.262320962599081e-10,7.091539856231959
NOS2,2.675260991845133,1.585762683084943e-13,10.257983891458762
CHI3L1,2.6334454173335073,4.223693740200139e-08,8.484008798314433
AQP9,2.5480218735274835,5.224530780245299e-08,7.303987446097938
TCN1,2.5018408671078207,2.0688127717306437e-08,7.277575738479381
MMP12,2.4683508548456645,2.470498560358127e-08,8.645809277386597
PTGS2,2.4349316969016916,8.117155867394328e-09,7.740729394268041
TNIP3,2.424858880750003,2.7476828567887194e-06,7.294041554963917
VSIG1,2.4177445438541225,2.9062179097825786e-07,7.057282121768041
REG1B,2.3668392373287537,0.0015684458345549045,8.852246208871135
CXCL1,2.3386481669006356,2.6629482840386303e-11,9.612392436046392
MMP7,2.2833757300327644,1.8528839086187971e-06,6.751492472164949
CXCL8,2.275013921551797,7.392574658054646e-08,8.231864654324742
TIMP1,2.172806574026957,5.405476388227422e-14,10.671691870927836
KYNU,2.166368125466702,8.447880102092754e-08,6.942708344618557
MUC1,2.10365867270402,1.036296504118286e-11,10.705047398551546
CXCL10,2.096249135208245,1.2061083183486266e-06,8.28587038056701
REG1A,2.0857772895977877,0.001876838101352377,10.295103279340207
SKAP2,2.0619848705798134,3.249531085065188e-10,11.564399091922681
IGHA2,2.0619848705798134,3.249531085065188e-10,11.564399091922681
LOC102723407,2.0619848705798134,3.249531085065188e-10,11.564399091922681
MXRA5,2.009625798214058,6.680036559604849e-15,9.024307634092784
FOLH1B,2.0092960670306574,0.0009944551490901354,6.653019434469073
FOLH1,2.0092960670306574,0.0009944551490901354,6.653019434469073
FCGR3A,2.00019492285677,1.7034508636531518e-09,7.936261988582474
FCGR3B,2.00019492285677,1.7034508636531518e-09,7.936261988582474
CXCL11,1.9701090064566582,1.4227840873277403e-08,7.187669178180411
IL1RN,1.9685786071390066,1.0846451394915886e-10,7.756997302391753
TNFAIP6,1.9505664877610975,6.899680518713917e-06,6.411351334989691
PI3,1.9505232891353028,1.1592257978609513e-06,9.16169721376804
STEAP4,1.9410531599328742,3.7441741159892775e-09,7.096778352788661
OSMR,1.9367097135449205,1.601992254353231e-09,7.966851515494846
SERPINA3,1.9018385956807649,2.7571734332472573e-08,8.149974439886599
SLC7A11,1.8879357883446115,8.610305810090901e-10,7.794288200613401
CDH3,1.8750718254127916,3.156921405145921e-08,7.775346379783504
CFI,1.8716971405787568,8.614486036556806e-10,7.227203582304123
SELE,1.851160352242073,1.3016783339854155e-06,6.711632892881443
IGFBP5,1.8494671761088748,7.63392208920487e-10,9.170124678685566
ABCA12,1.8377951748911174,7.282531233709626e-05,6.460949183608247
SERPINB5,1.831112741898524,5.341320768394679e-08,8.397816620113401
VNN1,1.8271864122907004,1.846624495170514e-05,9.194676701742267
SERPINB3,1.7927042286427044,0.0025461719777648546,5.711855653953608
CXCL9,1.7902726012859418,1.6533546730004266e-06,7.214570246061857
CCL2,1.7787493222204,3.82073390536231e-08,8.824735011283504
FCGR2A,1.7670736415903825,4.3055073928932185e-06,7.387350434319588
GBP4,1.758318095164376,1.4136347400760097e-09,8.149102051092784
ACSL4,1.7292594676183946,6.882034932013222e-09,7.737738584097938
