gene,log2FC,AveExpr,t_mod,pval,FDR,direction,DEG
1060P11.3,-0.19570314021406254,6.109587003443299,-3.969250468595117,0.00010163515171057669,0.0005270423131985202,down,False
A1BG,0.002258690713532019,6.837191940211341,0.05334004390101833,0.9575161340278908,0.9694352317847372,up,False
A1CF,-1.1000654832352001,9.062557620876289,-5.057832891909172,9.828480495387249e-07,1.0371401049698311e-05,down,True
A2M,0.9496507863361519,10.255557035577318,5.137540121137031,6.782895619385984e-07,7.625619014521819e-06,up,False
A2ML1,-0.11266150590591728,5.206430743701031,-2.9502150193389927,0.0035684528718466237,0.010822038273474912,down,False
A3GALT2,-0.03950835514217932,5.561239450427834,-0.8688130100166565,0.386028299698309,0.4948978753392022,down,False
A4GALT,0.2713440629735704,7.102800310623711,3.565771918916153,0.00045738697808772843,0.0018996146029713608,up,False
A4GNT,0.13114489739323076,5.246871794536083,1.1736485633205556,0.24198180755789367,0.3438047087091358,up,False
AAAS,0.08400255680920488,8.56464035621134,1.6491451517270659,0.100744257910616,0.17065354229700389,up,False
AACS,0.06473973757241147,8.076661218211342,1.0654790152532676,0.2879900441147753,0.39431048642895133,up,False
AADAC,-1.224126587299157,6.165796037809279,-1.8629184966212151,0.06399286860422126,0.11831239660547885,down,False
AADACL2,-0.13458984798203133,4.167911122556702,-3.970064022064361,0.00010131498222518453,0.0005256398255927324,down,False
AADACL3,-0.06094069341278896,5.111536298871134,-1.1946582840253628,0.23368631697573206,0.3342417683521005,down,False
AADACL4,-0.10595289845348788,4.718115785190721,-2.611772415979859,0.009715607931299181,0.025107657451201734,down,False
AADAT,0.059925204638476615,6.271498527829898,0.5655192354311798,0.5723773498761087,0.6675654748507256,up,False
AAED1,0.4818212866464062,7.452340828340206,3.6060379377196154,0.00039580510954303143,0.0016851400546620669,up,False
AAGAB,0.0727798037013816,7.413428234809279,0.8915140755097875,0.37376330186828566,0.482449645645403,up,False
AAK1,-0.13451046879756845,9.173184781659794,-2.911033898270691,0.004026081261865749,0.011997419250087307,down,False
AAMDC,-0.3861280224265311,6.2092291253659795,-4.083652440484941,6.490750888885608e-05,0.00036383331188397523,down,False
AAMP,-0.16420359576532384,8.530199566149486,-2.7778777419346947,0.006011486725999118,0.016793250963633204,down,False
AANAT,-0.045489881094079365,6.1291793096701035,-0.9848782841344491,0.3259166477630696,0.43461718692430523,down,False
AAR2,-0.0700008793477842,8.274728555747425,-1.7156348581032783,0.08783333138146446,0.1526848712473349,down,False
AARD,-0.048267912217234255,6.098450454958763,-1.2510309025428288,0.21243726262955098,0.309693285042542,down,False
AARS,0.40189421593975183,9.261461023113403,5.434193202337488,1.647222966965478e-07,2.317619699429073e-06,up,False
AARS2,-0.1209855113927043,6.915414270917527,-2.199524370373994,0.029028130384541783,0.062143943434086364,down,False
AARSD1,-0.1019737409122623,6.85503815433505,-2.2973907409967844,0.022668904260337377,0.05082477930379077,down,False
AASDH,0.0007421147315023191,6.37176687634536,0.01371075471063976,0.9890749027530663,0.9928636599442703,up,False
AASDHPPT,0.06546535597991543,8.03806801476804,1.2069924386299176,0.22891197397262464,0.3287917892820141,up,False
AASS,0.24646090056342906,6.720770572500001,3.681715382755876,0.0003006091054610462,0.0013369044696497885,up,False
AATBC,-0.03621344498995693,6.112331715020618,-0.7830679542604395,0.43454682032383807,0.5405188876765016,down,False
AATF,-0.09551989428910801,8.77467665698969,-2.2758491788974573,0.02395302870772302,0.05308723391157859,down,False
AATK,-0.19712796622092998,7.1389615995979385,-2.7283837685169883,0.00695211019634823,0.018964947667979362,down,False
AATK-AS1,-0.0671531640671228,6.813013793061856,-1.6143324690341587,0.10808868120907451,0.18060614266184408,down,False
ABAT,-0.6298972157616278,7.834100050762887,-4.170154235559024,4.595186552111329e-05,0.00027136110030019064,down,False
ABCA1,0.45857156045824876,7.6706919774484525,2.8990842560257772,0.004175981130931614,0.012370006019864245,up,False
ABCA10,-0.3696026998752604,5.22017565972165,-3.875806445252562,0.00014555393684996147,0.0007134977057408751,down,False
ABCA11P,-0.2393202907965124,7.82929319162371,-3.742529665484845,0.00024023042312072,0.0010948605081322986,down,False
ABCA12,1.8377951748911174,6.460949183608247,4.541919500063737,9.803935587907862e-06,7.282531233709626e-05,up,True
ABCA13,0.4932843841025383,5.903230109273196,5.288291108380301,3.3267368595128206e-07,4.202539090090658e-06,up,False
ABCA2,-0.45152004624682807,7.841083151103094,-5.285617574800438,3.369451215926494e-07,4.244880225580238e-06,down,False
ABCA3,-0.04201840212631858,6.619256421628866,-0.9303406862930642,0.35335667883201416,0.4626607446759088,down,False
ABCA4,-0.0012434451136353886,5.19876834148969,-0.026805366497777615,0.9786426629666203,0.984930344267805,down,False
ABCA5,-0.6218935861538055,7.710533755907216,-4.505770700466694,1.1441320532957547e-05,8.294467100118384e-05,down,False
ABCA6,-0.006100950065013322,5.722531287706186,-0.06358382305447285,0.9493674040150277,0.9644178533403969,down,False
ABCA7,0.1458815886368905,7.307895117835051,2.6054298904759197,0.009890965739758518,0.02547676644320017,up,False
ABCA8,-0.489776981772728,5.671795312082475,-3.0767695658456304,0.0023965932972139312,0.007733978094946284,down,False
ABCA9,-0.10675878628330171,5.245930906020619,-1.509192166859457,0.13288465782839765,0.21335599871665972,down,False
ABCB1,-2.1104216521945016,8.416113012685567,-6.0937120116963595,5.873919057376951e-09,1.3972527143571472e-07,down,True
ABCB10,-0.16609470499946788,8.174346290783506,-4.139986192992512,5.1865648803395455e-05,0.0003003207370363374,down,False
ABCB11,-0.3408278062875274,4.937292452319588,-4.290141385793741,2.8209215983239317e-05,0.00017989755440215978,down,False
ABCB4,-0.022024745026425485,5.488196760835052,-0.26045255830604674,0.7947923152862364,0.8506667219029275,down,False
ABCB5,-0.09786830616279119,4.287956520546392,-2.947333372568793,0.0036004114722908882,0.010911135196981286,down,False
ABCB6,0.2001860530137387,6.726858044938145,3.4591257927175567,0.0006668364956358426,0.002616736198406228,up,False
ABCB7,-0.2725471421146928,8.103958077572166,-4.235868588068926,3.522050814893569e-05,0.00021700624933087848,down,False
ABCB8,0.12666787716754957,7.635855159180411,3.0579062331123774,0.002545151262397921,0.008151190935321647,up,False
ABCB9,-0.2553015924164912,6.130161943649484,-5.753854120470994,3.3771583749648275e-08,6.047143789617376e-07,down,False
ABCC1,0.7005867018964054,8.658031838938143,6.942705135255437,5.70436946612057e-11,2.9493961149156895e-09,up,False
ABCC10,0.04287961265486473,7.88640798057732,1.032356388691076,0.30319682185992985,0.41076963238336456,up,False
ABCC11,-0.1329014136009512,5.584422763134021,-3.1753242229783876,0.0017423877656828589,0.005898235005746025,down,False
ABCC12,-0.1709512407288578,4.95994727585567,-4.876021086523175,2.2554934059917167e-06,2.1030387591052396e-05,down,False
ABCC13,-0.5637772444254754,5.772155529974226,-4.432952069925004,1.5574122605927113e-05,0.0001088387213309784,down,False
ABCC2,-1.161630050132132,6.886008456984535,-2.7822585733151177,0.005934066411626256,0.016612086630481922,down,True
ABCC3,-0.14874579098203355,9.689272092180413,-1.4273749990908082,0.15508742428250916,0.24176590527859187,down,False
ABCC4,0.25937667579545387,7.817117540417527,2.2460223256197587,0.025835794551933397,0.056446900236567364,up,False
ABCC5,-0.0067348946062377735,7.20462200351031,-0.07782221197421159,0.9380500813005244,0.9562277690654225,down,False
ABCC6,-0.19491401021512011,8.191051862927836,-2.4946741542049535,0.013446591491842755,0.032972526701994284,down,False
ABCC6P1,-0.19491401021512011,8.191051862927836,-2.4946741542049535,0.013446591491842755,0.032972526701994284,down,False
ABCC6P2,-0.19491401021512011,8.191051862927836,-2.4946741542049535,0.013446591491842755,0.032972526701994284,down,False
ABCC8,-0.1505941242563429,6.7113140831649485,-3.200956895538951,0.0016017389437589106,0.005482676180587518,down,False
ABCC9,0.6465142441987313,5.81330599943299,4.363561748433746,2.0822554345840344e-05,0.00013956721291647728,up,False
ABCD1,-0.37009385721036026,8.24703430873196,-2.445972175324627,0.015342202580976811,0.036901906048671135,down,False
ABCD2,0.33168635305073924,5.9625128544072155,2.8043145958946125,0.005557864329970924,0.01571495614198357,up,False
ABCD3,-0.6696277270221902,9.124709031943299,-6.481267610161505,7.406705855521126e-10,2.470498560358127e-08,down,False
ABCD4,-0.11819906580285267,7.901666188695876,-1.8301309146796665,0.0687725299958149,0.12535189551986708,down,False
ABCE1,0.31725572621405895,7.659068047680413,2.6163094546157777,0.009591886803036628,0.024842575655090703,up,False
ABCF1,-0.039682413668604255,9.104145619860827,-1.0635985342807235,0.2888392529288833,0.39498730481680644,down,False
ABCF2,-0.031213221949255576,7.459934522458762,-0.5450721540578497,0.5863330780748668,0.6797053832940032,down,False
ABCF3,0.013081138505283363,8.17459713115464,0.41748397057558884,0.6767883973758101,0.7545760657619157,up,False
ABCG1,-0.2098994048588736,7.781575039252577,-2.675570706999261,0.008101000261242509,0.02153240981956955,down,False
ABCG2,-2.7745209469735714,7.806776371211339,-6.526272050977789,5.794513617578712e-10,2.0287513157439903e-08,down,True
ABCG4,-0.10040191270982923,6.216273510432991,-2.4578724401592176,0.01485833067849237,0.035917823371979664,down,False
ABCG5,-0.21711104112790824,6.430231099087629,-0.6005479572951803,0.5488455186180652,0.6468143213450861,down,False
ABCG8,-0.3395935996606756,7.1128326083247435,-1.0508368983411196,0.2946472066578233,0.4013465042958447,down,False
ABHD1,-0.10403468669873384,5.867690596231958,-2.5261333805377046,0.012335846051143004,0.0306396683631103,down,False
ABHD10,-0.07421778648942734,7.101600114479382,-1.065037628677389,0.2881892178717331,0.39445549451997025,down,False
ABHD11,-0.23683137314059088,8.958878042340206,-2.737788952548759,0.006763715646302361,0.01852116109740427,down,False
ABHD12,-0.5030249700438656,8.94463273158763,-7.898583631503209,2.0853182487238605e-13,2.999879252092754e-11,down,False
ABHD12B,-0.2036467462156466,5.587414266422681,-1.010862140403201,0.3133477678411791,0.42168545542429775,down,False
ABHD13,-0.07392199660676191,8.61183691863402,-1.908701231981805,0.057784155381964866,0.10914268791196953,down,False
ABHD14A,-0.013616958360994857,8.352697004520618,-0.2122573188190142,0.8321302433589822,0.8784133554634501,down,False
ABHD14B,-0.3431702346923915,7.9725792402164934,-5.64237847375956,5.909006213765902e-08,9.760989749437617e-07,down,False
ABHD15,-0.40952682003329954,7.928788649561856,-6.485674125148955,7.231132290962948e-10,2.438863709042958e-08,down,False
ABHD16A,-0.023233789506340585,8.416368899855671,-0.6547707478160834,0.5133947718247409,0.6148351591220861,down,False
ABHD16B,-0.09047341875951531,6.294515927061856,-2.0050043900736925,0.046359541393185204,0.09101896034181482,down,False
ABHD17A,-0.1015861668514777,8.866589980061857,-2.414283102314093,0.016699533480749006,0.039612454797240515,down,False
ABHD17B,0.0019293142246317174,7.519638392922679,0.027017856360399356,0.978473401631507,0.9848068642283317,up,False
ABHD17C,-0.08400348051109852,9.50126748015464,-1.055348096824714,0.29258516389471173,0.3990853272797139,down,False
ABHD18,-0.3193976602986268,8.135511442340206,-4.645752224936272,6.259971043327469e-06,5.001118536201209e-05,down,False
ABHD2,0.364956209462477,9.742224064958764,4.638919778952501,6.448972299313834e-06,5.117313966738824e-05,up,False
ABHD3,-0.3553154393557101,9.530975990030926,-3.1054546423323277,0.002185953927279213,0.007146933781721323,down,False
ABHD4,-0.4679174996760036,8.575232898247423,-4.016485867604857,8.45544877571766e-05,0.00045418908889314363,down,False
ABHD5,-0.3537031134001083,8.64470897498969,-4.569053865790098,8.725597842336754e-06,6.604159540869555e-05,down,False
ABHD6,-0.666971182056022,8.449134078778352,-3.9070855584360222,0.00012915856170478274,0.000645091191396089,down,False
ABHD8,0.025205434358356982,6.869682826041237,0.7542444675678057,0.4516215096392776,0.5563579205605153,up,False
ABI1,-0.06271356602854539,8.860214282938143,-1.5959157454440978,0.11214337401399657,0.18629080561680544,down,False
ABI2,0.3213854008118391,7.4067018351185565,4.211813146186788,3.883595476369716e-05,0.00023579211466778752,up,False
ABI3,0.1999676730840365,7.821532950515464,2.580905012168733,0.010596072849296636,0.02696044755092451,up,False
ABI3BP,0.23184262706976888,7.659615491634021,0.9315115194683464,0.35275254069520534,0.46198414430429846,up,False
ABL1,-0.120843095024318,8.716165772567011,-2.1150060255485785,0.03571225659555153,0.07352093946905454,down,False
ABL2,0.36585027486469723,7.735768482046392,4.757879761395478,3.824872153865158e-06,3.298718247870575e-05,up,False
ABLIM1,0.008392999829805348,9.364011424525772,0.16386321758412523,0.8700102586742589,0.9072492203848588,up,False
ABLIM2,0.01813790225687395,7.228822284788659,0.32938083146780495,0.7422249575025258,0.8079806020954347,up,False
ABLIM3,0.2695427927759013,7.001333251680411,3.835632165712468,0.00016952058467550768,0.0008105023296705768,up,False
ABO,-0.5928898511078238,8.956153116324742,-3.3824959074660894,0.0008696130077575075,0.0032787377638333897,down,False
ABR,-0.24985762305232484,9.639493593072164,-4.059087417481839,7.152561243718008e-05,0.0003949222261642421,down,False
ABRA,-0.05496579915222011,5.3817163342577325,-1.3580282361782725,0.1760398528769265,0.26705270938223563,down,False
ABRACL,-0.30620130685518543,8.00023259891237,-3.5329054048458066,0.0005142181454381009,0.002100071672765454,down,False
ABT1,-0.09781758600422652,7.086431486252577,-2.004253293601981,0.04644062699390146,0.09116123076580657,down,False
ABTB1,0.09818258354810183,7.489278707453609,1.6748219238998883,0.09558837827315847,0.16348659143236996,up,False
ABTB2,-0.29231610247251716,7.676202965943299,-2.675982251151738,0.008091421754393506,0.021520474888713302,down,False
ACAA1,-0.48635246358774253,8.434540890298969,-5.6677574490311295,5.2056655345251556e-08,8.771650124191512e-07,down,False
ACAA2,-0.5376850605512669,8.987105068989692,-4.9879054217652,1.356249875539216e-06,1.3690031559917805e-05,down,False
ACACA,0.2654043854281163,7.280072724304123,3.781527067710378,0.0002077551597849838,0.0009681353821007167,up,False
ACACB,-0.3823814160243133,7.63235978542268,-3.1113805243890345,0.002144628546616536,0.007041214077829512,down,False
ACAD10,-0.3150239723990538,7.670565858695876,-3.970752485064208,0.0001010447911021996,0.0005251398863205247,down,False
ACAD11,-0.2718599958483079,6.938884318489691,-1.3747347207793346,0.1708073261321427,0.2609117686879819,down,False
ACAD8,-0.23719363515169434,8.102396412860825,-5.820078023123578,2.414031642806531e-08,4.557993495574081e-07,down,False
ACAD9,0.028949198677063137,8.489990490721649,0.6168194188166762,0.5380806239315993,0.6374315698998112,up,False
ACADL,-0.040465650500528305,4.3993409799278345,-1.029118064644403,0.3047119077470443,0.4125051349546601,down,False
ACADM,-0.9119876123937622,9.6231575850567,-7.270473920485017,8.695129737348815e-12,6.084692925408321e-10,down,False
ACADS,-0.8159395974973549,9.103057871072165,-6.200615290708456,3.344177933503243e-09,8.785010032272433e-08,down,False
ACADSB,-0.32769640348573503,7.239869839195877,-2.6510568866336954,0.008690334508140211,0.022857525353686698,down,False
ACADVL,-0.3212265287087739,10.590826299242268,-3.6120521458181587,0.000387306819070781,0.0016549560118993343,down,False
ACAN,0.0008297929851988073,5.956460273613402,0.017712983870415852,0.9858861165330213,0.9904291546947174,up,False
ACAP1,0.20956125606871367,7.3715276124999995,2.7397889987761914,0.006724254015348783,0.018438511367035882,up,False
ACAP2,-0.16421460139640764,8.6593927614433,-3.2606466667260117,0.0013140288606111647,0.004643677860184542,down,False
ACAP3,-0.012189057349895727,7.4446937433402045,-0.27077157589508144,0.7868560176250944,0.8441377944763531,down,False
ACAT1,-0.6995178556337178,7.8767762515,-4.918643771435805,1.8599732932516272e-06,1.7878570560178257e-05,down,False
ACAT2,0.0066087597056050384,7.323058717319587,0.05347461978680162,0.9574090505934643,0.9694352317847372,up,False
ACBD3,0.33152445951056997,9.93694837370103,5.03952912644242,1.0696101422365204e-06,1.1125944750553713e-05,up,False
ACBD4,-0.4236343752648013,6.9937884047268035,-4.191259207504385,4.2203919227801234e-05,0.0002531875971376774,down,False
ACBD5,-0.3715428724497851,8.583883269262888,-3.2399267685343456,0.0014079605256973253,0.0049262311775184215,down,False
ACBD6,0.003092838636892914,5.504816287994847,0.07292673705378602,0.9419399233814969,0.958930569167117,up,False
ACBD7,0.05097194682716921,5.13097972277835,1.1152011623741855,0.266150616482006,0.37066049179649446,up,False
ACCS,-0.11338453236680834,6.754021307113402,-1.5606450020124925,0.12024541996537697,0.19719502877144837,down,False
ACCSL,-0.05548950731765334,5.393124160314433,-1.2371748208009827,0.21752503151569286,0.3156187968686207,down,False
ACD,0.055541020644293226,6.937491332840205,1.3555978500213228,0.17681098836922718,0.2680110365596765,up,False
ACE,-0.38983070236575035,7.857487605329898,-2.1116380483097217,0.036004013749210605,0.07398473216932822,down,False
ACE2,-0.7968405558097249,9.538083627371135,-2.1511389561714465,0.03270792381482913,0.06852116980384972,down,False
ACER1,-0.08771692924048491,6.145179319304123,-1.9371055284655283,0.05419196977682566,0.10359768440341098,down,False
ACER2,-0.35707747940063506,6.6191810487783505,-3.5334267134405497,0.0005132671001983342,0.0020969975594849638,down,False
ACER3,-0.0866284789688141,8.797226380752578,-0.989120630275772,0.3238422847975724,0.43239631245196763,down,False
ACHE,-0.042494796600423435,7.413551205134019,-0.43805659462868346,0.6618350327799907,0.7427599340974613,down,False
