,MI,RFECV,ElasticNet,GBC,Consensus,MT1_ref,n_fs_methods
SLC6A14,1,0,1,1,1,0,3
BACE2,1,1,1,0,1,0,3
IFITM3,1,0,1,1,1,0,3
CNTFR,1,0,1,1,1,0,3
PDZK1IP1,1,0,1,1,1,0,3
STXBP1,0,1,1,1,1,0,3
PAQR5,1,0,0,1,1,0,2
NAAA,1,0,0,1,1,0,2
SLC38A4,1,0,1,0,1,0,2
TIMP1,1,0,0,1,1,0,2
ZG16B,0,1,1,0,1,0,2
APOBEC3B,0,1,0,1,1,0,2
TINAG,0,1,1,0,1,0,2
CD34,0,1,1,0,1,0,2
SLC9A3,0,1,0,1,1,0,2
LOC101060256,0,0,1,1,1,0,2
MXRA5,1,0,0,0,0,0,1
COL15A1,1,0,0,0,0,0,1
SLC22A5,1,0,0,0,0,0,1
GUCA2B,1,0,0,0,0,0,1
PHLPP2,1,0,0,0,0,0,1
SLC17A4,1,0,0,0,0,0,1
ADAMTS9,1,0,0,0,0,0,1
S100A11,1,0,0,0,0,0,1
SLC5A12,1,0,0,0,0,0,1
TMEM56-RWDD3,1,0,0,0,0,0,1
TMEM56,1,0,0,0,0,0,1
TCN1,1,0,0,0,0,0,1
WARS,1,0,0,0,0,0,1
NAALADL1,1,0,0,0,0,0,1
PHLDA1,1,0,0,0,0,0,1
COL6A3,1,0,0,0,0,0,1
WNT5A,0,1,0,0,0,0,1
ADH6,0,1,0,0,0,0,1
ALDOC,0,1,0,0,0,0,1
ANGPTL2,0,1,0,0,0,0,1
ANPEP,0,1,0,0,0,0,1
APOL1,0,1,0,0,0,0,1
TRHDE,0,1,0,0,0,0,1
TRIM22,0,1,0,0,0,0,1
TGM2,0,1,0,0,0,0,1
TM4SF18,0,1,0,0,0,0,1
BRINP3,0,1,0,0,0,0,1
ARHGAP29,0,1,0,0,0,0,1
BIRC3,0,1,0,0,0,0,1
CD55,0,1,0,0,0,0,1
SLC9A2,0,1,0,0,0,0,1
TDP2,0,1,0,0,0,0,1
TDO2,0,1,0,0,0,0,1
SLFN11,0,1,0,0,0,0,1
FOLH1B,0,0,1,0,0,0,1
FOLH1,0,0,1,0,0,0,1
MT1JP,0,0,1,0,0,0,1
CNTN4,0,0,1,0,0,0,1
SLC19A3,0,0,1,0,0,0,1
EGR1,0,0,1,0,0,0,1
FOS,0,0,1,0,0,0,1
HOXA6,0,0,1,0,0,0,1
PTPRR,0,0,1,0,0,0,1
MT1H,0,0,1,0,0,0,1
C2,0,0,1,0,0,0,1
MT1A,0,0,1,0,0,0,1
HSD3B2,0,0,1,0,0,0,1
S100P,0,0,1,0,0,0,1
ADGRF5,0,0,0,1,0,0,1
TRIB2,0,0,0,1,0,0,1
NAT8B,0,0,0,1,0,0,1
TRPM6,0,0,0,1,0,0,1
MIR194-1,0,0,0,1,0,0,1
OTC,0,0,0,1,0,0,1
LAMC1,0,0,0,1,0,0,1
LRRC19,0,0,0,1,0,0,1
REG1B,0,0,0,1,0,0,1
ENPP3,0,0,0,1,0,0,1
SAA2,0,0,0,1,0,0,1
MGC32805,0,0,0,1,0,0,1
SPINK4,0,0,0,1,0,0,1
FBXO16,0,0,0,1,0,0,1
AC083967.1,0,0,0,0,0,1,0
AC108477.1,0,0,0,0,0,1,0
AC112777.1,0,0,0,0,0,1,0
AL356275.1,0,0,0,0,0,1,0
ARHGAP16P,0,0,0,0,0,1,0
CST4,0,0,0,0,0,1,0
SLC6A2,0,0,0,0,0,1,0
TRPM3,0,0,0,0,0,1,0
