gene,ranking,in_rfecv_support,rank_for_vote
ZG16B,1,True,1
WNT5A,1,True,2
ADH6,1,True,3
ALDOC,1,True,4
ANGPTL2,1,True,5
ANPEP,1,True,6
APOL1,1,True,7
APOBEC3B,1,True,8
TRHDE,1,True,9
TRIM22,1,True,10
TGM2,1,True,11
TINAG,1,True,12
TM4SF18,1,True,13
BRINP3,1,True,14
ARHGAP29,1,True,15
BACE2,1,True,16
BIRC3,1,True,17
CD55,1,True,18
CD34,1,True,19
SLC9A3,1,True,20
SLC9A2,1,True,21
TDP2,1,True,22
TDO2,1,True,23
SLFN11,1,True,24
STXBP1,1,True,25
CARD6,1,True,26
C3,1,True,27
C4BPB,1,True,28
C2,1,True,29
C14orf99,1,True,30
TMEM56-RWDD3,1,True,31
TMEM56,1,True,32
SKAP2,1,True,33
SLC6A14,1,True,34
SLC13A2,1,True,35
CCL20,1,True,36
SLC51B,1,True,37
SLC38A4,1,True,38
SLC30A10,1,True,39
CDC25B,1,True,40
CCL18,1,True,41
PDZD3,1,True,42
PCSK1,1,True,43
CNTN4,1,True,44
COL15A1,1,True,45
COL1A1,1,True,46
PTPRR,1,True,47
PTGS2,1,True,48
RUNDC3B,1,True,49
CNTFR,1,True,50
S100P,1,True,51
S100A8,1,True,52
SCFV,1,True,53
SERPINB9,1,True,54
SERPINB5,1,True,55
SELL,1,True,56
CNGA1,1,True,57
SAA2,1,True,58
SAMD9L,1,True,59
CLDN1,1,True,60
CFI,1,True,61
CDH5,1,True,62
SLC19A3,1,True,63
SLC17A4,1,True,64
ENG,1,True,65
MT1A,1,True,66
EFNA1,1,True,67
EGR1,1,True,68
NNMT,1,True,69
NR4A2,1,True,70
NFKBIZ,1,True,71
NAAA,1,True,72
PCK1,1,True,73
PFN2,1,True,74
CYYR1,1,True,75
CYP2J2,1,True,76
CYP2B6,1,True,77
CXCR1,1,True,78
RBPMS,1,True,79
PXDN,1,True,80
PHLPP2,1,True,81
PDZK1IP1,1,True,82
ITGAX,1,True,83
MGC32805,1,True,84
LY96,1,True,85
GPX8,1,True,86
MATN2,1,True,87
LYZ,1,True,88
HNF1A-AS1,1,True,89
HLA-DQB2,1,True,90
LOC102723407,1,True,91
LOC101060256,1,True,92
LEAP2,1,True,93
LCN2,1,True,94
IL6,1,True,95
IL1RN,1,True,96
MIR215,1,True,97
MMP12,1,True,98
MMP2,1,True,99
MMP9,1,True,100
FRMD1,1,True,101
FOS,1,True,102
GABRA2,1,True,103
G6PC,1,True,104
FLT1,1,True,105
FMO4,1,True,106
MIR21,1,True,107
MIR194-1,1,True,108
FOLH1B,1,True,109
FOLH1,1,True,110
MIER3,1,True,111
MGP,1,True,112
FCGR2C,1,True,113
FCGR2B,1,True,114
FCGR3B,1,True,115
FCGR3A,1,True,116
FCRL5,1,True,117
FFAR4,1,True,118
FADS2,1,True,119
MXRA5,1,True,120
MUC4,1,True,121
MUC1,1,True,122
MT1X,1,True,123
MT1M,1,True,124
MT1JP,1,True,125
MT1H,1,True,126
MT1G,1,True,127
MT1F,1,True,128
IGHV3-75,1,True,129
IGHV3OR16-7,1,True,130
IGHV4-31,1,True,131
IGK,1,True,132
ACPP,1,True,133
ADAMTS9,1,True,134
ADGRF5,1,True,135
IGHV3-69-1,1,True,136
VNN2,1,True,137
VWF,1,True,138
VNN1,1,True,139
USP2,1,True,140
IGHG2,1,True,141
IGHG1,1,True,142
LAX1,1,True,143
LAMC1,1,True,144
IGLJ3,1,True,145
IGKV3-20,1,True,146
IGHM,1,True,147
IGHV3-23,1,True,148
IGHV3-30,1,True,149
IGHV3-41,1,True,150
IGHV3-48,1,True,151
IGH,1,True,152
IFITM3,1,True,153
IGHA2,1,True,154
IGHA1,1,True,155
IDO1,1,True,156
HSD3B1,1,True,157
HSD3B2,1,True,158
HSD3BP4,1,True,159
HOXA6,1,True,160
UGT1A8,2,False,161
