gene,log2FC,FDR,direction,n_methods,MI,RFECV,ElasticNet,GBC
IFITM3,1.2431752071691315,4.79144528740094e-19,up,3,True,False,True,True
CNTFR,-1.9838683674466129,3.046575288020697e-23,down,3,True,False,True,True
PDZK1IP1,1.630708832739428,2.0663396194421435e-11,up,3,True,False,True,True
BACE2,1.363807857610993,1.7387337658439853e-17,up,3,True,True,True,False
SLC6A14,4.5330840542172295,1.2340890148553629e-17,up,3,True,False,True,True
STXBP1,1.0620086270068656,3.7097035894027157e-14,up,3,False,True,True,True
PAQR5,-1.960492782097252,2.846336850516547e-19,down,2,True,False,False,True
SLC38A4,-1.5308817473403795,1.670337862628904e-17,down,2,True,False,True,False
TIMP1,2.172806574026957,5.4054763882274224e-14,up,2,True,False,False,True
NAAA,-1.2885922612959817,4.306227357334947e-13,down,2,True,False,False,True
TINAG,-1.3247176282938735,1.6222577948485291e-09,down,2,False,True,True,False
ZG16B,1.0237234364048664,3.213304634631077e-07,up,2,False,True,True,False
SLC9A3,-1.0528199271220906,0.0001598469822351,down,2,False,True,False,True
CD34,1.0009750100211408,9.468605394175292e-08,up,2,False,True,True,False
APOBEC3B,-1.2465221489793858,7.600528442137998e-09,down,2,False,True,False,True
LOC101060256,1.0533194277552838,0.0031619231379506,up,2,False,False,True,True
