gene,cluster_position,module,log2FC,FDR,direction
SLC13A1,1,1,-2.5163101544624684,7.772739025180518e-05,down
PRKG2,2,1,-2.2524570355274847,6.392515447131811e-07,down
MEP1B,3,1,-2.8415308424471455,0.0002998035048610599,down
CYP3A4,4,1,-2.3296145230311858,0.0038455098562694312,down
CYP2B6,5,1,-2.6850033112711422,2.6956431892081557e-10,down
UGT2A3,6,1,-2.5900601611168046,1.280849148729562e-05,down
ABCG2,7,1,-2.7745209469735714,2.0287513157439903e-08,down
ABCB1,8,1,-2.1104216521945016,1.3972527143571472e-07,down
PCK1,9,1,-2.220152227290166,4.402361681343017e-06,down
TMIGD1,10,1,-2.821645008708775,1.931111538862952e-08,down
GUCA2A,11,1,-2.230259801752112,1.5876013400562174e-07,down
MT1M,12,2,-2.3116768261797063,1.950883526282086e-13,down
AQP8,13,2,-2.1404992344154357,1.601429215161069e-05,down
HMGCS2,14,2,-2.5319921614873095,5.227199283012274e-08,down
SLC26A2,15,2,-2.3352984540919692,3.1598813343546155e-08,down
REG1B,16,4,2.3668392373287537,0.0015684458345549045,up
IDO1,17,3,3.062183290360996,2.6629482840386303e-11,up
MMP12,18,3,2.4683508548456645,2.470498560358127e-08,up
CHI3L1,19,3,2.6334454173335073,4.223693740200139e-08,up
TIMP1,20,3,2.172806574026957,5.405476388227422e-14,up
CXCL1,21,3,2.3386481669006356,2.6629482840386303e-11,up
KYNU,22,3,2.166368125466702,8.447880102092754e-08,up
MMP3,23,3,3.557633601662788,1.3271901420561957e-09,up
MMP1,24,3,3.2628469905988338,4.5863323101523636e-10,up
PTGS2,25,3,2.4349316969016916,8.117155867394328e-09,up
S100A8,26,3,2.9457037690280172,3.0872150429161887e-09,up
AQP9,27,3,2.5480218735274835,5.224530780245299e-08,up
IL1B,28,3,2.9343615324746324,8.99845146109782e-11,up
CXCL8,29,3,2.275013921551797,7.392574658054646e-08,up
MUC1,30,3,2.10365867270402,1.036296504118286e-11,up
TNIP3,31,3,2.424858880750003,2.7476828567887194e-06,up
MMP7,32,3,2.2833757300327644,1.8528839086187971e-06,up
TCN1,33,3,2.5018408671078207,2.0688127717306437e-08,up
VSIG1,34,3,2.4177445438541225,2.9062179097825786e-07,up
NOS2,35,3,2.675260991845133,1.585762683084943e-13,up
SAA2,36,3,2.684159370977275,5.262320962599081e-10,up
SLC6A14,37,3,4.5330840542172295,1.2340890148553627e-17,up
LCN2,38,3,3.2448375734635304,2.846336850516547e-19,up
DUOX2,39,3,4.097316943906979,3.2139700460998197e-15,up
DUOXA2,40,3,3.3827279970507362,3.6348298295503877e-12,up
